"player","score of ConsiderSelfOnly","score of CondiserEnemyPosition","time spent","nodes visited","leaf nodes","rating of game state","depth","exact cuts","window cuts","windows narrowed","transposition table size","branching factor at depth 1","branching factor at depth 2","branching factor at depth 3","branching factor at depth 4"
"ConsiderSelfOnly","0","0","3204","49854","43765","-188","4","0","0","0","0","52","7","15","7"
"CondiserEnemyPosition","0","0","5602","111370","98944","-12","4","0","0","0","0","52","9","23","8"
"ConsiderSelfOnly","0","0","1619","26792","21605","-176","4","0","0","0","0","59","2","30","4"
"CondiserEnemyPosition","0","0","13266","255262","224873","-22","4","0","0","0","0","54","25","21","7"
"ConsiderSelfOnly","0","0","2783","69395","61554","-154","4","0","0","0","0","59","10","11","8"
"CondiserEnemyPosition","0","0","12286","238683","210536","6","4","0","0","0","0","58","21","21","7"
"ConsiderSelfOnly","0","0","3847","69492","57691","-160","4","0","0","0","0","65","7","23","5"
"CondiserEnemyPosition","0","0","26867","519606","456530","6","4","0","0","0","0","66","32","28","7"
"ConsiderSelfOnly","0","0","5811","109426","91864","-138","4","0","0","0","0","71","10","23","5"
"CondiserEnemyPosition","0","0","16226","265867","221566","4","4","0","0","0","0","66","22","29","5"
"ConsiderSelfOnly","0","0","2759","44726","36032","-142","4","0","0","0","0","72","4","26","4"
"CondiserEnemyPosition","0","0","22165","432483","381918","-14","4","0","0","0","0","68","19","36","7"
"ConsiderSelfOnly","0","0","3555","46215","34020","-122","4","0","0","0","0","71","4","37","2"
"CondiserEnemyPosition","0","0","8961","163313","141037","-18","4","0","0","0","0","65","9","36","6"
"ConsiderSelfOnly","0","0","9558","159714","130450","-98","4","0","0","0","0","65","12","36","4"
"CondiserEnemyPosition","0","0","13158","212110","174348","16","4","0","0","0","0","66","11","48","4"
"ConsiderSelfOnly","0","0","1638","20787","15906","-102","4","0","0","0","0","59","2","31","3"
"CondiserEnemyPosition","0","0","31970","585130","502901","16","4","0","0","0","0","64","31","39","6"
"ConsiderSelfOnly","0","0","5700","124515","108629","-86","4","0","0","0","0","54","14","19","7"
"CondiserEnemyPosition","0","0","57977","901366","734495","46","4","0","0","0","0","78","40","51","4"
"ConsiderSelfOnly","0","0","2058","26061","19901","-104","4","0","0","0","0","61","2","33","3"
"CondiserEnemyPosition","0","0","14417","240769","200223","10","4","0","0","0","0","69","13","41","5"
"ConsiderSelfOnly","0","0","4948","109509","96034","-86","4","0","0","0","0","54","12","18","7"
"CondiserEnemyPosition","0","0","34849","568997","469238","52","4","0","0","0","0","75","26","48","4"
"ConsiderSelfOnly","0","0","4672","122098","108781","-100","4","0","0","0","0","52","17","13","8"
"CondiserEnemyPosition","0","0","7158","113311","92252","16","4","0","0","0","0","82","6","38","4"
"ConsiderSelfOnly","0","0","5235","106672","91917","-116","4","0","0","0","0","60","12","19","6"
"CondiserEnemyPosition","0","0","34305","502180","400974","36","4","0","0","0","0","85","22","51","4"
"ConsiderSelfOnly","0","0","5427","79956","64311","-112","4","0","0","0","0","58","9","28","4"
"CondiserEnemyPosition","0","0","39741","601966","489023","48","4","0","0","0","0","78","22","63","4"
"ConsiderSelfOnly","0","0","2156","38406","32084","-108","4","0","0","0","0","53","4","24","5"
"CondiserEnemyPosition","0","0","38727","587908","474625","54","4","0","0","0","0","69","30","53","4"
"ConsiderSelfOnly","0","0","4398","70802","57728","-100","4","0","0","0","0","58","7","29","4"
"CondiserEnemyPosition","0","0","9024","140774","115192","44","4","0","0","0","0","66","9","38","4"
"ConsiderSelfOnly","0","0","7603","174685","153976","-94","4","0","0","0","0","65","19","15","7"
"CondiserEnemyPosition","0","0","6552","95898","74102","44","4","0","0","0","0","65","9","36","3"
"ConsiderSelfOnly","0","0","2935","66886","58457","-136","4","0","0","0","0","61","8","14","7"
"CondiserEnemyPosition","0","0","7504","117995","93872","70","4","0","0","0","0","64","9","37","4"
"ConsiderSelfOnly","0","0","2882","60180","51589","-128","4","0","0","0","0","59","6","21","6"
"CondiserEnemyPosition","0","0","1694","22023","16506","60","4","0","0","0","0","64","2","37","3"
"ConsiderSelfOnly","0","0","3489","65364","55567","-112","4","0","0","0","0","56","10","15","6"
"CondiserEnemyPosition","0","0","12688","209515","171987","86","4","0","0","0","0","65","17","32","4"
"ConsiderSelfOnly","0","0","11487","196508","163579","-104","4","0","0","0","0","61","24","21","5"
"CondiserEnemyPosition","0","0","4430","67850","54464","88","4","0","0","0","0","60","5","38","4"
"ConsiderSelfOnly","0","0","17630","350929","302623","-122","4","0","0","0","0","57","45","17","6"
"CondiserEnemyPosition","0","0","16076","246429","193570","144","4","0","0","0","0","62","21","39","3"
"ConsiderSelfOnly","0","0","7564","149382","129130","-148","4","0","0","0","0","54","18","18","6"
"CondiserEnemyPosition","0","0","26754","470902","391772","154","4","0","0","0","0","63","27","45","5"
"ConsiderSelfOnly","0","0","2790","58935","50958","-138","4","0","0","0","0","52","9","15","6"
"CondiserEnemyPosition","0","0","2635","45277","37216","124","4","0","0","0","0","52","4","35","4"
