"player","score of ConsiderSelfOnly","score of CondiserEnemyPosition","time spent","nodes visited","leaf nodes","rating of game state","depth","exact cuts","window cuts","windows narrowed","transposition table size","branching factor at depth 1","branching factor at depth 2","branching factor at depth 3","branching factor at depth 4"
"ConsiderSelfOnly","0","0","3976","49854","43765","-188","4","0","0","0","0","52","7","15","7"
"CondiserEnemyPosition","0","0","5533","111369","98943","-12","4","0","0","0","0","52","9","23","8"
"ConsiderSelfOnly","0","0","1621","26787","21600","-176","4","0","0","0","0","59","2","30","4"
"CondiserEnemyPosition","0","0","13449","255242","224853","-22","4","0","0","0","0","54","25","21","7"
"ConsiderSelfOnly","0","0","2753","69397","61556","-154","4","0","0","0","0","59","10","11","8"
"CondiserEnemyPosition","0","0","12179","238672","210525","6","4","0","0","0","0","58","21","21","7"
"ConsiderSelfOnly","0","0","3794","69287","57486","-160","4","0","0","0","0","65","7","23","5"
"CondiserEnemyPosition","0","0","26652","518418","455343","6","4","0","0","0","0","66","32","28","7"
"ConsiderSelfOnly","0","0","5737","109347","91783","-138","4","0","0","0","0","71","10","23","5"
"CondiserEnemyPosition","0","0","16045","264816","220653","4","4","0","0","0","0","66","22","29","5"
"ConsiderSelfOnly","0","0","2714","45021","36327","-142","4","0","0","0","0","72","4","26","4"
"CondiserEnemyPosition","0","0","21999","432495","381930","-14","4","0","0","0","0","68","19","36","7"
"ConsiderSelfOnly","0","0","3503","46183","33985","-122","4","0","0","0","0","71","4","37","2"
"CondiserEnemyPosition","0","0","8871","162674","140394","-18","4","0","0","0","0","65","9","36","6"
"ConsiderSelfOnly","0","0","9468","160173","130929","-98","4","0","0","0","0","65","12","36","4"
"CondiserEnemyPosition","0","0","13050","214396","176638","16","4","0","0","0","0","66","11","48","4"
"ConsiderSelfOnly","0","0","1583","20454","15662","-102","4","0","0","0","0","59","2","31","3"
"CondiserEnemyPosition","0","0","31471","580930","499335","16","4","0","0","0","0","64","31","39","6"
"ConsiderSelfOnly","0","0","5605","124730","108860","-86","4","0","0","0","0","54","14","19","7"
"CondiserEnemyPosition","0","0","56754","892306","726474","46","4","0","0","0","0","78","40","51","4"
"ConsiderSelfOnly","0","0","2011","26200","20045","-104","4","0","0","0","0","61","2","33","3"
"CondiserEnemyPosition","0","0","14284","241719","201253","10","4","0","0","0","0","69","13","41","5"
"ConsiderSelfOnly","0","0","4897","109737","96279","-86","4","0","0","0","0","54","12","18","7"
