"player","score of ConsiderSelfOnly","score of CondiserEnemyPosition","time spent","nodes visited","leaf nodes","rating of game state","depth","exact cuts","window cuts","windows narrowed","transposition table size","branching factor at depth 1","branching factor at depth 2","branching factor at depth 3","branching factor at depth 4"
"ConsiderSelfOnly","0","0","3034","49854","43765","-188","4","0","0","0","0","52","7","15","7"
"CondiserEnemyPosition","0","0","5619","111370","98944","-12","4","0","0","0","0","52","9","23","8"
"ConsiderSelfOnly","0","0","1616","26792","21605","-176","4","0","0","0","0","59","2","30","4"
"CondiserEnemyPosition","0","0","13268","255258","224869","-22","4","0","0","0","0","54","25","21","7"
"ConsiderSelfOnly","0","0","2764","69395","61554","-154","4","0","0","0","0","59","10","11","8"
"CondiserEnemyPosition","0","0","12271","238682","210535","6","4","0","0","0","0","58","21","21","7"
"ConsiderSelfOnly","0","0","3807","69492","57691","-160","4","0","0","0","0","65","7","23","5"
"CondiserEnemyPosition","0","0","26820","519607","456531","6","4","0","0","0","0","66","32","28","7"
"ConsiderSelfOnly","0","0","5761","109426","91864","-138","4","0","0","0","0","71","10","23","5"
"CondiserEnemyPosition","0","0","16171","265867","221566","4","4","0","0","0","0","66","22","29","5"
"ConsiderSelfOnly","0","0","2731","45087","36393","-142","4","0","0","0","0","72","4","26","4"
"CondiserEnemyPosition","0","0","22086","432502","381937","-14","4","0","0","0","0","68","19","36","7"
"ConsiderSelfOnly","0","0","3505","46247","34052","-122","4","0","0","0","0","71","4","37","2"
"CondiserEnemyPosition","0","0","8924","163312","141037","-18","4","0","0","0","0","65","9","36","6"
"ConsiderSelfOnly","0","0","9453","160061","130797","-98","4","0","0","0","0","65","12","36","4"
"CondiserEnemyPosition","0","0","13070","212059","174302","16","4","0","0","0","0","66","11","48","4"
"ConsiderSelfOnly","0","0","1593","20409","15606","-102","4","0","0","0","0","59","2","31","3"
"CondiserEnemyPosition","0","0","31791","583751","501677","16","4","0","0","0","0","64","31","39","6"
"ConsiderSelfOnly","0","0","5689","124724","108838","-86","4","0","0","0","0","54","14","19","7"
"CondiserEnemyPosition","0","0","57386","896665","730036","46","4","0","0","0","0","78","40","51","4"
"ConsiderSelfOnly","0","0","2023","26120","19960","-104","4","0","0","0","0","61","2","33","3"
"CondiserEnemyPosition","0","0","14362","240787","200241","10","4","0","0","0","0","69","13","41","5"
"ConsiderSelfOnly","0","0","4926","109776","96301","-86","4","0","0","0","0","54","12","18","7"
"CondiserEnemyPosition","0","0","34646","568675","468914","52","4","0","0","0","0","75","26","48","4"
"ConsiderSelfOnly","0","0","4664","123724","110367","-100","4","0","0","0","0","52","17","13","8"
"CondiserEnemyPosition","0","0","7117","113403","92344","16","4","0","0","0","0","82","6","38","4"
"ConsiderSelfOnly","0","0","5187","106787","92032","-116","4","0","0","0","0","60","12","19","6"
"CondiserEnemyPosition","0","0","34033","502161","400950","36","4","0","0","0","0","85","22","51","4"
"ConsiderSelfOnly","0","0","5389","80652","64999","-112","4","0","0","0","0","58","9","27","4"
"CondiserEnemyPosition","0","0","39504","601834","488883","48","4","0","0","0","0","78","22","63","4"
"ConsiderSelfOnly","0","0","2137","38430","32108","-108","4","0","0","0","0","53","4","24","5"
"CondiserEnemyPosition","0","0","38489","589234","475758","54","4","0","0","0","0","69","30","53","4"
"ConsiderSelfOnly","0","0","4364","71090","58015","-100","4","0","0","0","0","58","7","29","4"
"CondiserEnemyPosition","0","0","8991","141971","116270","44","4","0","0","0","0","66","9","38","4"
"ConsiderSelfOnly","0","0","9064","210861","186106","-94","4","0","0","0","0","65","20","17","7"
"CondiserEnemyPosition","0","0","6471","95786","73990","44","4","0","0","0","0","65","9","36","3"
"ConsiderSelfOnly","0","0","2907","66903","58474","-136","4","0","0","0","0","61","8","14","7"
"CondiserEnemyPosition","0","0","7418","118142","94018","70","4","0","0","0","0","64","9","37","4"
"ConsiderSelfOnly","0","0","3144","66999","57611","-128","4","0","0","0","0","59","6","22","6"
"CondiserEnemyPosition","0","0","1672","22020","16503","60","4","0","0","0","0","64","2","37","3"
"ConsiderSelfOnly","0","0","3468","65464","55667","-112","4","0","0","0","0","56","10","15","6"
"CondiserEnemyPosition","0","0","12548","209552","172025","86","4","0","0","0","0","65","17","32","4"
"ConsiderSelfOnly","0","0","11283","196213","163284","-104","4","0","0","0","0","61","24","21","5"
"CondiserEnemyPosition","0","0","4372","67838","54452","88","4","0","0","0","0","60","5","38","4"
"ConsiderSelfOnly","0","0","17281","350319","302012","-122","4","0","0","0","0","57","45","17","6"
"CondiserEnemyPosition","0","0","15872","245961","193246","144","4","0","0","0","0","62","21","39","3"
"ConsiderSelfOnly","0","0","7419","149361","129108","-148","4","0","0","0","0","54","18","18","6"
"CondiserEnemyPosition","0","0","26600","471572","392185","154","4","0","0","0","0","63","27","45","5"
"ConsiderSelfOnly","0","0","2708","57834","49931","-138","4","0","0","0","0","52","9","15","6"
"CondiserEnemyPosition","0","0","2616","45632","37556","124","4","0","0","0","0","52","4","35","4"
"ConsiderSelfOnly","0","0","5812","116769","100242","-136","4","0","0","0","0","48","11","29","6"
"CondiserEnemyPosition","0","0","2108","29492","21717","160","4","0","0","0","0","55","3","44","2"
"ConsiderSelfOnly","0","0","7284","149770","129416","-148","4","0","0","0","0","49","16","24","6"
"CondiserEnemyPosition","0","0","21506","345180","270553","220","4","0","0","0","0","57","27","45","3"
"ConsiderSelfOnly","0","0","10903","241117","212266","-148","4","0","0","0","0","53","37","13","7"
"CondiserEnemyPosition","0","0","13859","216385","170612","196","4","0","0","0","0","62","15","46","3"
"ConsiderSelfOnly","0","0","14279","280919","243146","-160","4","0","0","0","0","60","35","16","6"
"CondiserEnemyPosition","0","0","6195","84772","63850","184","4","0","0","0","0","65","7","39","3"
"ConsiderSelfOnly","0","0","16237","341956","301526","-196","4","0","0","0","0","56","30","22","7"
"CondiserEnemyPosition","0","0","1531","18467","13089","194","4","0","0","0","0","60","2","36","2"
"ConsiderSelfOnly","0","0","23095","508227","453019","-206","4","0","0","0","0","56","48","19","8"
"CondiserEnemyPosition","0","1","8773","177982","149612","250","4","0","0","0","0","57","27","16","5"
"ConsiderSelfOnly","0","1","17116","383332","335666","-982","4","0","0","0","0","53","35","24","7"
"CondiserEnemyPosition","0","1","4966","106130","90485","954","4","0","0","0","0","54","16","16","6"
"ConsiderSelfOnly","0","1","10995","212739","179278","-1028","4","0","0","0","0","59","27","19","5"
"CondiserEnemyPosition","0","1","2431","41228","31551","962","4","0","0","0","0","63","4","31","3"
"ConsiderSelfOnly","0","1","11578","347797","319729","-1140","4","0","0","0","0","59","46","9","12"
"CondiserEnemyPosition","0","1","5726","95803","74731","972","4","0","0","0","0","63","11","27","3"
"ConsiderSelfOnly","0","1","27839","598185","529031","-1020","4","0","0","0","0","59","45","24","7"
"CondiserEnemyPosition","0","1","1999","28838","21233","1016","4","0","0","0","0","54","4","32","2"
"ConsiderSelfOnly","0","1","40385","946328","856630","-1006","4","0","0","0","0","57","45","33","9"
"CondiserEnemyPosition","0","1","7590","110727","81707","1076","4","0","0","0","0","59","11","42","2"
"ConsiderSelfOnly","0","1","13325","349398","320794","-1034","4","0","0","0","0","57","37","12","12"
"CondiserEnemyPosition","0","1","5215","79671","58424","1104","4","0","0","0","0","66","8","37","2"
"ConsiderSelfOnly","0","1","10849","258419","233421","-1054","4","0","0","0","0","53","38","11","10"
"CondiserEnemyPosition","0","1","5597","83050","58574","1142","4","0","0","0","0","63","7","49","2"
"ConsiderSelfOnly","0","1","24960","594481","537983","-1098","4","0","0","0","0","52","61","16","10"
"CondiserEnemyPosition","0","2","1292","16549","10745","1116","4","0","0","0","0","66","2","41","1"
"ConsiderSelfOnly","0","2","3929","77251","67155","-1850","4","0","0","0","0","56","8","19","7"
"CondiserEnemyPosition","0","2","4646","69245","49015","1834","4","0","0","0","0","65","7","42","2"
"ConsiderSelfOnly","0","2","8463","241479","222094","-1842","4","0","0","0","0","52","38","8","12"
"CondiserEnemyPosition","0","2","9251","165285","126601","1900","4","0","0","0","0","62","17","35","3"
"ConsiderSelfOnly","0","2","15521","338401","300237","-1838","4","0","0","0","0","60","42","14","8"
"CondiserEnemyPosition","0","2","6051","104051","76370","1928","4","0","0","0","0","56","11","43","2"
"ConsiderSelfOnly","0","2","13992","293135","259475","-1836","4","0","0","0","0","54","38","15","8"
"CondiserEnemyPosition","0","2","5439","90133","65050","1962","4","0","0","0","0","56","9","47","2"
"ConsiderSelfOnly","0","2","10894","285555","260036","-1862","4","0","0","0","0","50","41","11","11"
"CondiserEnemyPosition","0","2","12924","222044","158789","1964","4","0","0","0","0","65","17","54","2"
"ConsiderSelfOnly","0","2","6722","147651","131338","-1872","4","0","0","0","0","48","20","15","8"
"CondiserEnemyPosition","0","2","12153","195472","138646","1970","4","0","0","0","0","59","17","53","2"
"ConsiderSelfOnly","0","2","8175","199946","181027","-1878","4","0","0","0","0","50","12","28","9"
"CondiserEnemyPosition","0","2","3495","61767","44937","1970","4","0","0","0","0","55","7","40","2"
"ConsiderSelfOnly","0","2","2965","75675","68429","-1870","4","0","0","0","0","48","14","9","10"
"CondiserEnemyPosition","0","2","12061","227755","172225","1968","4","0","0","0","0","59","23","39","3"
"ConsiderSelfOnly","0","2","7984","248407","228712","-1860","4","0","0","0","0","49","31","11","12"
"CondiserEnemyPosition","0","2","7393","138163","102020","1904","4","0","0","0","0","65","13","40","2"
"ConsiderSelfOnly","0","2","9606","205462","181460","-1882","4","0","0","0","0","53","14","30","7"
"CondiserEnemyPosition","0","2","5472","95830","67767","1978","4","0","0","0","0","54","11","42","2"
"ConsiderSelfOnly","0","2","5490","134992","121431","-1902","4","0","0","0","0","49","20","12","9"
"CondiserEnemyPosition","0","2","5891","99013","67678","1968","4","0","0","0","0","55","11","50","2"
"ConsiderSelfOnly","0","2","15724","369354","330363","-1864","4","0","0","0","0","47","31","25","8"
"CondiserEnemyPosition","0","2","7666","131352","94148","1972","4","0","0","0","0","58","13","46","2"
"ConsiderSelfOnly","0","2","5046","132960","120525","-1908","4","0","0","0","0","45","23","10","10"
"CondiserEnemyPosition","0","2","4843","86091","60979","1962","4","0","0","0","0","54","10","41","2"
"ConsiderSelfOnly","0","2","9173","317475","295202","-1902","4","0","0","0","0","47","44","9","14"
"CondiserEnemyPosition","0","2","2405","41139","28832","1912","4","0","0","0","0","61","5","34","2"
"ConsiderSelfOnly","0","2","11013","294206","263247","-1932","4","0","0","0","0","47","28","21","8"
"CondiserEnemyPosition","0","2","1536","26700","18657","1884","4","0","0","0","0","59","3","33","2"
"ConsiderSelfOnly","0","2","10326","288059","261250","-1924","4","0","0","0","0","49","47","10","10"
"CondiserEnemyPosition","0","3","1703","29333","19406","1884","4","0","0","0","0","63","3","45","2"
"ConsiderSelfOnly","0","3","9002","291850","265837","-2644","4","0","0","0","0","45","39","13","10"
"CondiserEnemyPosition","0","3","4948","92287","63019","2658","4","0","0","0","0","61","10","43","2"
"ConsiderSelfOnly","0","3","8211","272986","251139","-2638","4","0","0","0","0","40","41","12","12"
"CondiserEnemyPosition","0","3","1721","30804","20791","2646","4","0","0","0","0","67","4","34","2"
"ConsiderSelfOnly","0","3","5675","143052","126247","-2660","4","0","0","0","0","42","15","24","7"
"CondiserEnemyPosition","0","3","9229","169320","114249","2660","4","0","0","0","0","58","18","50","2"
"ConsiderSelfOnly","0","3","4020","116622","104565","-2642","4","0","0","0","0","34","17","18","9"
"CondiserEnemyPosition","0","3","2862","59966","41725","2662","4","0","0","0","0","55","7","41","2"
