"player","score of ConsiderSelfOnly","score of CondiserEnemyPosition","time spent","nodes visited","leaf nodes","rating of game state","depth","exact cuts","window cuts","windows narrowed","transposition table size","branching factor at depth 1","branching factor at depth 2","branching factor at depth 3","branching factor at depth 4"
"ConsiderSelfOnly","0","0","3026","49854","43765","-188","4","0","0","0","0","52","7","15","7"
"CondiserEnemyPosition","0","0","5701","111370","98944","-12","4","0","0","0","0","52","9","23","8"
"ConsiderSelfOnly","0","0","1642","26792","21605","-176","4","0","0","0","0","59","2","30","4"
"CondiserEnemyPosition","0","0","13546","255262","224873","-22","4","0","0","0","0","54","25","21","7"
"ConsiderSelfOnly","0","0","2817","69395","61554","-154","4","0","0","0","0","59","10","11","8"
"CondiserEnemyPosition","0","0","12523","238683","210536","6","4","0","0","0","0","58","21","21","7"
"ConsiderSelfOnly","0","0","3873","69492","57691","-160","4","0","0","0","0","65","7","23","5"
"CondiserEnemyPosition","0","0","27456","519606","456530","6","4","0","0","0","0","66","32","28","7"
"ConsiderSelfOnly","0","0","5867","109426","91864","-138","4","0","0","0","0","71","10","23","5"
"CondiserEnemyPosition","0","0","16516","265867","221566","4","4","0","0","0","0","66","22","29","5"
"ConsiderSelfOnly","0","0","2775","44726","36032","-142","4","0","0","0","0","72","4","26","4"
"CondiserEnemyPosition","0","0","22612","432483","381918","-14","4","0","0","0","0","68","19","36","7"
"ConsiderSelfOnly","0","0","3559","46215","34020","-122","4","0","0","0","0","71","4","37","2"
"CondiserEnemyPosition","0","0","9158","163313","141037","-18","4","0","0","0","0","65","9","36","6"
"ConsiderSelfOnly","0","0","9601","159714","130450","-98","4","0","0","0","0","65","12","36","4"
"CondiserEnemyPosition","0","0","13343","212110","174348","16","4","0","0","0","0","66","11","48","4"
"ConsiderSelfOnly","0","0","1654","20787","15906","-102","4","0","0","0","0","59","2","31","3"
"CondiserEnemyPosition","0","0","32659","585130","502901","16","4","0","0","0","0","64","31","39","6"
"ConsiderSelfOnly","0","0","5755","124515","108629","-86","4","0","0","0","0","54","14","19","7"
"CondiserEnemyPosition","0","0","58911","901366","734495","46","4","0","0","0","0","78","40","51","4"
"ConsiderSelfOnly","0","0","2075","26061","19901","-104","4","0","0","0","0","61","2","33","3"
"CondiserEnemyPosition","0","0","14695","240769","200223","10","4","0","0","0","0","69","13","41","5"
"ConsiderSelfOnly","0","0","5030","109509","96034","-86","4","0","0","0","0","54","12","18","7"
"CondiserEnemyPosition","0","0","35419","568997","469238","52","4","0","0","0","0","75","26","48","4"
"ConsiderSelfOnly","0","0","4724","122098","108781","-100","4","0","0","0","0","52","17","13","8"
"CondiserEnemyPosition","0","0","7259","113311","92252","16","4","0","0","0","0","82","6","38","4"
"ConsiderSelfOnly","0","0","5299","106672","91917","-116","4","0","0","0","0","60","12","19","6"
"CondiserEnemyPosition","0","0","34855","502180","400974","36","4","0","0","0","0","85","22","51","4"
"ConsiderSelfOnly","0","0","5488","79956","64311","-112","4","0","0","0","0","58","9","28","4"
"CondiserEnemyPosition","0","0","40365","601966","489023","48","4","0","0","0","0","78","22","63","4"
"ConsiderSelfOnly","0","0","2178","38406","32084","-108","4","0","0","0","0","53","4","24","5"
"CondiserEnemyPosition","0","0","39247","587908","474625","54","4","0","0","0","0","69","30","53","4"
"ConsiderSelfOnly","0","0","4438","70802","57728","-100","4","0","0","0","0","58","7","29","4"
"CondiserEnemyPosition","0","0","9168","140774","115192","44","4","0","0","0","0","66","9","38","4"
"ConsiderSelfOnly","0","0","7683","174685","153976","-94","4","0","0","0","0","65","19","15","7"
"CondiserEnemyPosition","0","0","6634","95898","74102","44","4","0","0","0","0","65","9","36","3"
"ConsiderSelfOnly","0","0","2969","66886","58457","-136","4","0","0","0","0","61","8","14","7"
"CondiserEnemyPosition","0","0","7624","117995","93872","70","4","0","0","0","0","64","9","37","4"
"ConsiderSelfOnly","0","0","2922","60180","51589","-128","4","0","0","0","0","59","6","21","6"
"CondiserEnemyPosition","0","0","1710","22023","16506","60","4","0","0","0","0","64","2","37","3"
"ConsiderSelfOnly","0","0","3531","65364","55567","-112","4","0","0","0","0","56","10","15","6"
"CondiserEnemyPosition","0","0","12914","209515","171987","86","4","0","0","0","0","65","17","32","4"
