"player","score of CondiserEnemyPosition","score of ConsiderSelfOnly","time spent","nodes visited","leaf nodes","rating of game state","depth","exact cuts","window cuts","windows narrowed","transposition table size","branching factor at depth 1","branching factor at depth 2","branching factor at depth 3","branching factor at depth 4"
"CondiserEnemyPosition","3","1","2181","40476","31488","1860","4","0","0","0","0","56","5","26","3"
"ConsiderSelfOnly","3","1","10975","299216","271816","-1902","4","0","0","0","0","50","50","9","10"
"CondiserEnemyPosition","4","1","1925","32711","24401","1866","4","0","0","0","0","62","3","39","3"
"ConsiderSelfOnly","4","1","14436","408457","370267","-2636","4","0","0","0","0","48","63","11","10"
"CondiserEnemyPosition","4","1","4440","115669","98737","2584","4","0","0","0","0","58","7","38","6"
"ConsiderSelfOnly","4","1","8524","304438","280844","-2664","4","0","0","0","0","48","59","7","13"
"CondiserEnemyPosition","4","1","1212","19578","13663","2564","4","0","0","0","0","63","2","32","2"
"ConsiderSelfOnly","4","1","23409","0","0","0","0","0","0","0","0"
"CondiserEnemyPosition","5","1","176","3749","3430","2682","4","0","0","0","0","54","1","1","20"
"ConsiderSelfOnly","5","1","1798","0","0","0","0","0","0","0","0"
"CondiserEnemyPosition","6","1","144","2693","2418","3402","4","0","0","0","0","59","1","1","22"
