"player","score of ConsiderSelfOnly","score of CondiserEnemyPosition","time spent","nodes visited","leaf nodes","rating of game state","depth","exact cuts","window cuts","windows narrowed","transposition table size","branching factor at depth 1","branching factor at depth 2","branching factor at depth 3","branching factor at depth 4"
"ConsiderSelfOnly","0","1","11178","212739","179278","-1028","4","0","0","0","0","59","27","19","5"
"CondiserEnemyPosition","0","1","2463","41228","31551","962","4","0","0","0","0","63","4","31","3"
"ConsiderSelfOnly","0","1","11781","347797","319729","-1140","4","0","0","0","0","59","46","9","12"
"CondiserEnemyPosition","0","1","5816","95803","74731","972","4","0","0","0","0","63","11","27","3"
"ConsiderSelfOnly","0","1","28221","598185","529031","-1020","4","0","0","0","0","59","45","24","7"
"CondiserEnemyPosition","0","1","2012","28838","21233","1016","4","0","0","0","0","54","4","32","2"
"ConsiderSelfOnly","0","1","40887","946328","856630","-1006","4","0","0","0","0","57","45","33","9"
"CondiserEnemyPosition","0","1","7655","110727","81707","1076","4","0","0","0","0","59","11","42","2"
"ConsiderSelfOnly","0","1","13484","349398","320794","-1034","4","0","0","0","0","57","37","12","12"
"CondiserEnemyPosition","0","1","5257","79671","58424","1104","4","0","0","0","0","66","8","37","2"
"ConsiderSelfOnly","0","1","10968","258419","233421","-1054","4","0","0","0","0","53","38","11","10"
"CondiserEnemyPosition","0","1","5625","83050","58574","1142","4","0","0","0","0","63","7","49","2"
"ConsiderSelfOnly","0","1","25195","594481","537983","-1098","4","0","0","0","0","52","61","16","10"
"CondiserEnemyPosition","0","2","1297","16549","10745","1116","4","0","0","0","0","66","2","41","1"
"ConsiderSelfOnly","0","2","3959","77251","67155","-1850","4","0","0","0","0","56","8","19","7"
"CondiserEnemyPosition","0","2","4670","69245","49015","1834","4","0","0","0","0","65","7","42","2"
"ConsiderSelfOnly","0","2","8537","241479","222094","-1842","4","0","0","0","0","52","38","8","12"
"CondiserEnemyPosition","0","2","9324","165285","126601","1900","4","0","0","0","0","62","17","35","3"
"ConsiderSelfOnly","0","2","15686","338401","300237","-1838","4","0","0","0","0","60","42","14","8"
"CondiserEnemyPosition","0","2","6116","104051","76370","1928","4","0","0","0","0","56","11","43","2"
"ConsiderSelfOnly","0","2","14150","293135","259475","-1836","4","0","0","0","0","54","38","15","8"
"CondiserEnemyPosition","0","2","5492","90133","65050","1962","4","0","0","0","0","56","9","47","2"
"ConsiderSelfOnly","0","2","11023","285555","260036","-1862","4","0","0","0","0","50","41","11","11"
"CondiserEnemyPosition","0","2","13055","222044","158789","1964","4","0","0","0","0","65","17","54","2"
"ConsiderSelfOnly","0","2","6790","147651","131338","-1872","4","0","0","0","0","48","20","15","8"
"CondiserEnemyPosition","0","2","12245","195472","138646","1970","4","0","0","0","0","59","17","53","2"
"ConsiderSelfOnly","0","2","8281","199946","181027","-1878","4","0","0","0","0","50","12","28","9"
"CondiserEnemyPosition","0","2","3534","61767","44937","1970","4","0","0","0","0","55","7","40","2"
"ConsiderSelfOnly","0","2","2995","75675","68429","-1870","4","0","0","0","0","48","14","9","10"
"CondiserEnemyPosition","0","2","12199","227755","172225","1968","4","0","0","0","0","59","23","39","3"
"ConsiderSelfOnly","0","2","8107","248407","228712","-1860","4","0","0","0","0","49","31","11","12"
"CondiserEnemyPosition","0","2","7459","138163","102020","1904","4","0","0","0","0","65","13","40","2"
"ConsiderSelfOnly","0","2","9716","205462","181460","-1882","4","0","0","0","0","53","14","30","7"
"CondiserEnemyPosition","0","2","5535","95830","67767","1978","4","0","0","0","0","54","11","42","2"
"ConsiderSelfOnly","0","2","5574","134992","121431","-1902","4","0","0","0","0","49","20","12","9"
"CondiserEnemyPosition","0","2","5916","99013","67678","1968","4","0","0","0","0","55","11","50","2"
"ConsiderSelfOnly","0","2","15915","369354","330363","-1864","4","0","0","0","0","47","31","25","8"
"CondiserEnemyPosition","0","2","7728","131352","94148","1972","4","0","0","0","0","58","13","46","2"
"ConsiderSelfOnly","0","2","5104","132960","120525","-1908","4","0","0","0","0","45","23","10","10"
"CondiserEnemyPosition","0","2","4881","86091","60979","1962","4","0","0","0","0","54","10","41","2"
"ConsiderSelfOnly","0","2","9282","317475","295202","-1902","4","0","0","0","0","47","44","9","14"
"CondiserEnemyPosition","0","2","2416","41139","28832","1912","4","0","0","0","0","61","5","34","2"
"ConsiderSelfOnly","0","2","11161","294206","263247","-1932","4","0","0","0","0","47","28","21","8"
"CondiserEnemyPosition","0","2","1553","26700","18657","1884","4","0","0","0","0","59","3","33","2"
"ConsiderSelfOnly","0","2","10437","288059","261250","-1924","4","0","0","0","0","49","47","10","10"
"CondiserEnemyPosition","0","3","1724","29333","19406","1884","4","0","0","0","0","63","3","45","2"
"ConsiderSelfOnly","0","3","9131","291850","265837","-2644","4","0","0","0","0","45","39","13","10"
"CondiserEnemyPosition","0","3","5001","92287","63019","2658","4","0","0","0","0","61","10","43","2"
"ConsiderSelfOnly","0","3","8283","272986","251139","-2638","4","0","0","0","0","40","41","12","12"
"CondiserEnemyPosition","0","3","1727","30804","20791","2646","4","0","0","0","0","67","4","34","2"
"ConsiderSelfOnly","0","3","5731","143052","126247","-2660","4","0","0","0","0","42","15","24","7"
"CondiserEnemyPosition","0","3","9297","169320","114249","2660","4","0","0","0","0","58","18","50","2"
"ConsiderSelfOnly","0","3","4066","116622","104565","-2642","4","0","0","0","0","34","17","18","9"
"CondiserEnemyPosition","0","3","2875","59966","41725","2662","4","0","0","0","0","55","7","41","2"
"ConsiderSelfOnly","0","3","3852","121128","109783","-2624","4","0","0","0","0","30","29","11","10"
"CondiserEnemyPosition","0","3","747","13654","8618","2666","4","0","0","0","0","50","2","40","1"
"ConsiderSelfOnly","0","3","2582","61543","54098","-2654","4","0","0","0","0","38","13","13","7"
"CondiserEnemyPosition","0","3","1638","31634","20778","2690","4","0","0","0","0","55","4","48","1"
"ConsiderSelfOnly","0","3","6271","173654","156028","-2662","4","0","0","0","0","40","37","10","9"
"CondiserEnemyPosition","0","3","5647","118334","81079","2718","4","0","0","0","0","55","14","45","2"
"ConsiderSelfOnly","0","3","7871","277865","256105","-2698","4","0","0","0","0","40","50","9","13"
"CondiserEnemyPosition","0","3","7609","164253","115183","2664","4","0","0","0","0","64","15","48","2"
"ConsiderSelfOnly","0","3","14754","383132","342279","-2648","4","0","0","0","0","44","45","19","8"
"CondiserEnemyPosition","0","3","4059","90181","64759","2704","4","0","0","0","0","60","11","36","2"
"ConsiderSelfOnly","0","3","7592","197579","176542","-2666","4","0","0","0","0","43","24","18","8"
"CondiserEnemyPosition","0","3","4581","105560","74479","2734","4","0","0","0","0","53","12","44","2"
"ConsiderSelfOnly","0","3","9682","209004","180883","-2668","4","0","0","0","0","48","28","19","6"
"CondiserEnemyPosition","0","3","4770","105435","77781","2728","4","0","0","0","0","52","13","38","2"
"ConsiderSelfOnly","0","3","9568","184000","155926","-2702","4","0","0","0","0","48","26","21","5"
"CondiserEnemyPosition","0","3","6759","158320","118451","2734","4","0","0","0","0","50","21","36","3"
"ConsiderSelfOnly","0","3","18734","405048","352620","-2656","4","0","0","0","0","51","37","26","6"
"CondiserEnemyPosition","0","3","3457","73730","52457","2724","4","0","0","0","0","48","11","38","2"
"ConsiderSelfOnly","0","3","13017","313060","277078","-2672","4","0","0","0","0","50","33","20","8"
"CondiserEnemyPosition","0","3","2529","66742","54221","2684","4","0","0","0","0","54","12","17","4"
"ConsiderSelfOnly","0","3","2678","84859","77569","-2762","4","0","0","0","0","50","14","8","11"
"CondiserEnemyPosition","0","3","3091","65938","45660","2682","4","0","0","0","0","57","8","42","2"
"ConsiderSelfOnly","0","3","21207","664415","608610","-2676","4","0","0","0","0","51","49","20","11"
"CondiserEnemyPosition","0","3","4276","99968","70548","2712","4","0","0","0","0","60","13","35","2"
"ConsiderSelfOnly","0","3","20912","508544","456267","-2696","4","0","0","0","0","56","43","20","9"
"CondiserEnemyPosition","0","3","6649","139203","98499","2750","4","0","0","0","0","62","15","42","2"
"ConsiderSelfOnly","0","3","6866","134474","116738","-2712","4","0","0","0","0","57","18","15","7"
"CondiserEnemyPosition","0","3","12821","275757","201589","2768","4","0","0","0","0","63","23","49","2"
"ConsiderSelfOnly","0","3","27037","547136","482526","-2696","4","0","0","0","0","61","43","23","7"
"CondiserEnemyPosition","0","3","11025","210224","151307","2774","4","0","0","0","0","62","19","46","2"
"ConsiderSelfOnly","0","3","7521","145576","127560","-2696","4","0","0","0","0","62","15","17","7"
"CondiserEnemyPosition","0","3","18747","384288","290078","2786","4","0","0","0","0","58","35","44","3"
"ConsiderSelfOnly","0","3","11351","187738","156649","-2688","4","0","0","0","0","57","17","30","5"
"CondiserEnemyPosition","0","3","8268","151384","109725","2714","4","0","0","0","0","62","14","44","2"
"ConsiderSelfOnly","0","3","11507","190535","161692","-2676","4","0","0","0","0","59","16","28","5"
"CondiserEnemyPosition","0","3","6425","118585","85663","2764","4","0","0","0","0","57","12","45","2"
"ConsiderSelfOnly","0","3","26658","474907","408382","-2676","4","0","0","0","0","62","32","31","6"
"CondiserEnemyPosition","0","3","10859","214267","157302","2784","4","0","0","0","0","57","21","44","2"
"ConsiderSelfOnly","0","3","14484","245098","207048","-2688","4","0","0","0","0","59","24","24","5"
"CondiserEnemyPosition","0","3","3397","62959","43143","2750","4","0","0","0","0","58","7","42","2"
"ConsiderSelfOnly","0","3","12315","244941","214927","-2702","4","0","0","0","0","56","27","18","7"
"CondiserEnemyPosition","0","3","10231","212752","152557","2810","4","0","0","0","0","58","22","44","2"
"ConsiderSelfOnly","0","3","11527","292321","263274","-2752","4","0","0","0","0","53","43","11","9"
"CondiserEnemyPosition","0","3","3172","72628","53063","2768","4","0","0","0","0","62","7","39","2"
"ConsiderSelfOnly","0","3","30485","761505","690163","-2782","4","0","0","0","0","54","53","23","10"
"CondiserEnemyPosition","0","4","1874","42202","31712","2762","4","0","0","0","0","62","6","26","3"
"ConsiderSelfOnly","0","4","13248","297843","263392","-3508","4","0","0","0","0","58","32","17","8"
"CondiserEnemyPosition","0","4","2902","60678","41661","3546","4","0","0","0","0","64","7","40","2"
"ConsiderSelfOnly","0","4","9526","209528","185346","-3508","4","0","0","0","0","56","25","15","8"
"CondiserEnemyPosition","0","4","4078","88492","62366","3554","4","0","0","0","0","66","8","45","2"
"ConsiderSelfOnly","0","4","5746","102970","88209","-3500","4","0","0","0","0","54","12","21","6"
"CondiserEnemyPosition","0","4","8564","174706","121605","3574","4","0","0","0","0","59","17","50","2"
"ConsiderSelfOnly","0","4","11018","231917","202954","-3500","4","0","0","0","0","50","32","16","7"
"CondiserEnemyPosition","0","4","3469","68464","46672","3562","4","0","0","0","0","57","8","42","2"
"ConsiderSelfOnly","0","4","12433","266803","236784","-3500","4","0","0","0","0","49","30","18","8"
"CondiserEnemyPosition","0","4","6908","148824","101311","3618","4","0","0","0","0","60","16","46","2"
"ConsiderSelfOnly","0","4","8658","229072","207870","-3528","4","0","0","0","0","43","43","10","10"
"CondiserEnemyPosition","0","4","8617","184838","130324","3606","4","0","0","0","0","60","20","44","2"
"ConsiderSelfOnly","0","4","8117","277775","258814","-3560","4","0","0","0","0","44","48","7","15"
"CondiserEnemyPosition","0","4","5438","126322","91605","3564","4","0","0","0","0","65","12","40","2"
"ConsiderSelfOnly","0","4","16496","626223","587459","-3560","4","0","0","0","0","43","58","14","16"
"CondiserEnemyPosition","0","4","2542","53948","37253","3488","4","0","0","0","0","73","7","30","2"
"ConsiderSelfOnly","0","4","14690","485911","453449","-3538","4","0","0","0","0","46","39","16","14"
"CondiserEnemyPosition","0","5","703","14417","9702","3540","4","0","0","0","0","54","2","30","2"
"ConsiderSelfOnly","0","5","1717","36038","30783","-4276","4","0","0","0","0","40","6","19","6"
"CondiserEnemyPosition","0","5","2425","55880","40124","4268","4","0","0","0","0","56","7","36","2"
"ConsiderSelfOnly","0","5","2220","44362","38386","-4268","4","0","0","0","0","40","7","19","6"
"CondiserEnemyPosition","0","5","1938","39476","27146","4320","4","0","0","0","0","58","4","43","2"
"ConsiderSelfOnly","0","5","14640","350006","312535","-4260","4","0","0","0","0","40","53","16","8"
"CondiserEnemyPosition","0","5","3206","67836","46361","4344","4","0","0","0","0","60","7","45","2"
"ConsiderSelfOnly","0","5","11083","297816","271733","-4302","4","0","0","0","0","49","45","10","11"
"CondiserEnemyPosition","0","5","5241","111210","76414","4388","4","0","0","0","0","66","10","49","2"
"ConsiderSelfOnly","0","5","7558","219790","202168","-4316","4","0","0","0","0","43","38","9","12"
"CondiserEnemyPosition","0","5","7146","157357","106480","4412","4","0","0","0","0","64","14","52","2"
"ConsiderSelfOnly","0","5","8611","176513","154889","-4320","4","0","0","0","0","43","31","14","7"
"CondiserEnemyPosition","0","5","7023","153183","106094","4404","4","0","0","0","0","67","13","51","2"
"ConsiderSelfOnly","0","5","8873","208596","186062","-4342","4","0","0","0","0","44","27","17","8"
"CondiserEnemyPosition","0","5","9629","208048","145609","4388","4","0","0","0","0","79","15","51","2"
"ConsiderSelfOnly","0","5","4351","89805","78729","-4326","4","0","0","0","0","52","12","15","7"
"CondiserEnemyPosition","0","5","13349","309409","227995","4398","4","0","0","0","0","68","21","55","2"
"ConsiderSelfOnly","0","5","11299","319597","290185","-4324","4","0","0","0","0","47","40","14","10"
"CondiserEnemyPosition","0","5","4398","97689","65195","4358","4","0","0","0","0","75","8","50","2"
"ConsiderSelfOnly","0","5","8035","143880","123385","-4324","4","0","0","0","0","44","20","22","6"
"CondiserEnemyPosition","0","5","9399","190287","124930","4434","4","0","0","0","0","67","17","55","1"
"ConsiderSelfOnly","0","5","4235","86803","76151","-4332","4","0","0","0","0","44","14","15","7"
"CondiserEnemyPosition","0","5","8509","177075","122962","4420","4","0","0","0","0","67","16","46","2"
"ConsiderSelfOnly","0","5","12578","305367","274251","-4346","4","0","0","0","0","55","45","11","9"
"CondiserEnemyPosition","0","5","16546","373356","258145","4438","4","0","0","0","0","72","28","55","2"
"ConsiderSelfOnly","0","5","4478","116828","106321","-4384","4","0","0","0","0","59","14","11","11"
"CondiserEnemyPosition","0","5","16203","361746","247865","4418","4","0","0","0","0","73","27","56","2"
"ConsiderSelfOnly","0","5","11454","0","0","0","0","0","0","0","0"
"CondiserEnemyPosition","0","5","8385","188108","132549","4396","4","0","0","0","0","82","14","45","2"
"ConsiderSelfOnly","0","5","5756","0","0","0","0","0","0","0","0"
"CondiserEnemyPosition","0","6","195","2942","2566","4334","4","0","0","0","0","92","1","1","18"
