"player","score of AbaProReimplementation","score of PapadopoulosReimplementation","time spent","nodes visited","leaf nodes","rating of game state","depth","exact cuts","window cuts","windows narrowed","transposition table size","branching factor at depth 1","branching factor at depth 2","branching factor at depth 3","branching factor at depth 4"
"AbaProReimplementation","0","0","3583","54531","45759","0","4","0","0","0","0","44","18","9","5"
"PapadopoulosReimplementation","0","0","6165","104667","92521","-6","4","0","0","0","0","44","14","18","8"
"AbaProReimplementation","0","0","4157","55540","42399","0","4","0","0","0","0","52","10","22","3"
"PapadopoulosReimplementation","0","0","13747","226355","197500","-6","4","0","0","0","0","51","24","21","7"
"AbaProReimplementation","0","0","5631","77691","59571","0","4","0","0","0","0","60","12","23","3"
"PapadopoulosReimplementation","0","0","33950","688607","623813","18","4","0","0","0","0","54","44","25","10"
"AbaProReimplementation","0","0","7386","108235","85175","2","4","0","0","0","0","67","14","22","3"
"PapadopoulosReimplementation","0","0","32883","720027","662371","22","4","0","0","0","0","58","33","28","11"
"AbaProReimplementation","0","0","8442","136371","107547","3","4","0","0","0","0","71","15","25","3"
"PapadopoulosReimplementation","0","0","13426","261547","236072","-64","4","0","0","0","0","69","12","28","9"
"AbaProReimplementation","0","0","7228","123632","98836","3","4","0","0","0","0","67","15","22","4"
"PapadopoulosReimplementation","0","0","20704","403452","358708","-40","4","0","0","0","0","60","30","23","8"
"AbaProReimplementation","0","0","11531","155581","120804","4","4","0","0","0","0","67","18","26","3"
"PapadopoulosReimplementation","0","0","33340","650091","579893","8","4","0","0","0","0","55","28","43","8"
"AbaProReimplementation","0","0","5396","93230","75094","3","4","0","0","0","0","60","13","21","4"
"PapadopoulosReimplementation","0","0","16507","306626","270547","-52","4","0","0","0","0","62","16","33","7"
"AbaProReimplementation","0","0","18916","271270","209706","5","4","0","0","0","0","59","30","32","3"
"PapadopoulosReimplementation","0","0","35770","597833","513688","-8","4","0","0","0","0","58","30","46","6"
"AbaProReimplementation","0","0","11024","207361","171829","4","4","0","0","0","0","58","29","19","5"
"PapadopoulosReimplementation","0","0","18929","335380","290292","-12","4","0","0","0","0","64","13","52","6"
"AbaProReimplementation","0","0","1757","29871","23509","1","4","0","0","0","0","59","2","40","3"
"PapadopoulosReimplementation","0","0","27004","469421","408816","-54","4","0","0","0","0","69","19","44","6"
"AbaProReimplementation","0","0","5140","85426","68839","4","4","0","0","0","0","63","8","29","4"
"PapadopoulosReimplementation","0","0","26736","486503","420594","4","4","0","0","0","0","66","26","36","6"
"AbaProReimplementation","0","0","11713","196610","156752","5","4","0","0","0","0","67","21","26","4"
"PapadopoulosReimplementation","0","0","18318","294827","252732","-72","4","0","0","0","0","64","12","51","6"
