"player","score of PapadopoulosReimplementation","score of AbaProReimplementation","time spent","nodes visited","leaf nodes","rating of game state","depth","exact cuts","window cuts","windows narrowed","transposition table size","branching factor at depth 1","branching factor at depth 2","branching factor at depth 3","branching factor at depth 4"
"AbaProReimplementation","2","1","2038","56877","46925","-94","4","0","0","0","0","55","8","19","4"
"PapadopoulosReimplementation","2","1","3884","99009","85736","774","4","0","0","0","0","51","9","25","6"
"AbaProReimplementation","2","1","1765","39594","30747","-96","4","0","0","0","0","55","5","27","3"
"PapadopoulosReimplementation","2","1","4483","121292","107659","786","4","0","0","0","0","48","13","20","8"
"AbaProReimplementation","2","1","6279","150498","118644","-96","4","0","0","0","0","59","19","27","3"
"PapadopoulosReimplementation","2","1","6522","181306","162535","770","4","0","0","0","0","52","13","26","9"
"AbaProReimplementation","2","1","4291","93559","74283","-97","4","0","0","0","0","61","14","20","4"
"PapadopoulosReimplementation","2","1","1713","34523","28955","808","4","0","0","0","0","56","2","35","5"
"AbaProReimplementation","2","2","3023","59099","46747","-96","4","0","0","0","0","63","9","19","3"
"PapadopoulosReimplementation","3","2","3405","76791","64704","172","4","0","0","0","0","56","12","15","5"
"AbaProReimplementation","3","2","3355","65830","52145","-96","4","0","0","0","0","64","8","23","3"
"PapadopoulosReimplementation","3","2","11616","329707","296288","836","4","0","0","0","0","54","23","25","9"
"AbaProReimplementation","3","2","5360","113002","90963","-95","4","0","0","0","0","62","14","23","4"
"PapadopoulosReimplementation","3","2","11099","308299","278800","806","4","0","0","0","0","59","14","34","9"
"AbaProReimplementation","3","2","21874","467160","384054","-94","4","0","0","0","0","64","51","24","4"
"PapadopoulosReimplementation","3","2","22486","588227","521206","830","4","0","0","0","0","64","21","48","7"
"AbaProReimplementation","3","2","7863","158187","127245","-94","4","0","0","0","0","60","18","26","4"
"PapadopoulosReimplementation","3","2","11912","320385","280468","876","4","0","0","0","0","66","24","24","7"
"AbaProReimplementation","3","2","2574","66073","56347","-95","4","0","0","0","0","67","10","12","6"
"PapadopoulosReimplementation","3","2","17399","454133","402737","862","4","0","0","0","0","68","24","29","8"
"AbaProReimplementation","3","2","14611","331839","278158","-92","4","0","0","0","0","71","37","18","5"
"PapadopoulosReimplementation","3","2","46598","1136338","995058","866","4","0","0","0","0","70","36","54","7"
"AbaProReimplementation","3","2","4907","105870","85957","-93","4","0","0","0","0","65","12","24","4"
"PapadopoulosReimplementation","3","2","10611","304960","277424","876","4","0","0","0","0","56","18","25","10"
"AbaProReimplementation","3","2","16170","376566","311469","-92","4","0","0","0","0","66","33","28","4"
"PapadopoulosReimplementation","3","2","12647","291378","246550","884","4","0","0","0","0","56","22","35","5"
"AbaProReimplementation","3","2","8416","244858","214870","-107","4","0","0","0","0","60","38","12","7"
"PapadopoulosReimplementation","3","2","30727","735507","633549","908","4","0","0","0","0","62","31","50","6"
"AbaProReimplementation","3","2","18433","350918","284650","-89","4","0","0","0","0","63","38","26","4"
"PapadopoulosReimplementation","3","2","23321","461521","375705","886","4","0","0","0","0","65","25","50","4"
"AbaProReimplementation","3","2","4073","94229","80662","-92","4","0","0","0","0","61","6","33","6"
"PapadopoulosReimplementation","3","2","4030","75582","60675","844","4","0","0","0","0","66","7","29","4"
"AbaProReimplementation","3","2","14880","314570","260438","-99","4","0","0","0","0","60","33","26","5"
"PapadopoulosReimplementation","3","2","21284","421880","346819","884","4","0","0","0","0","62","25","47","4"
"AbaProReimplementation","3","2","8459","236055","202575","-101","4","0","0","0","0","57","27","19","6"
"PapadopoulosReimplementation","3","2","5229","115578","97050","854","4","0","0","0","0","62","11","24","5"
"AbaProReimplementation","3","2","13722","313033","263399","-101","4","0","0","0","0","61","32","24","5"
"PapadopoulosReimplementation","3","2","27548","503899","406581","894","4","0","0","0","0","63","29","51","4"
"AbaProReimplementation","3","2","14442","346127","296957","-89","4","0","0","0","0","59","40","19","6"
"PapadopoulosReimplementation","3","2","43548","931648","794668","898","4","0","0","0","0","65","45","45","5"
"AbaProReimplementation","3","2","23777","617054","536437","-87","4","0","0","0","0","67","54","20","6"
"PapadopoulosReimplementation","3","2","3498","62010","51160","844","4","0","0","0","0","74","4","29","4"
"AbaProReimplementation","3","2","23000","510165","431199","-100","4","0","0","0","0","59","39","32","5"
"PapadopoulosReimplementation","3","2","5213","92776","75216","886","4","0","0","0","0","65","5","46","4"
"AbaProReimplementation","3","2","27485","535676","441015","-100","4","0","0","0","0","59","54","28","4"
"PapadopoulosReimplementation","3","2","12733","220540","172711","910","4","0","0","0","0","60","17","45","3"
"AbaProReimplementation","3","2","27352","451194","352317","-103","4","0","0","0","0","67","34","41","3"
"PapadopoulosReimplementation","3","2","24273","532241","443739","946","4","0","0","0","0","59","29","50","5"
"AbaProReimplementation","3","2","21582","363958","280195","-103","4","0","0","0","0","61","33","40","3"
"PapadopoulosReimplementation","3","2","13717","274674","222957","914","4","0","0","0","0","61","19","42","4"
"AbaProReimplementation","3","2","15856","253112","194652","-102","4","0","0","0","0","61","21","43","3"
"PapadopoulosReimplementation","3","2","11083","229249","188167","918","4","0","0","0","0","58","16","42","4"
"AbaProReimplementation","3","2","14760","299937","246973","-103","4","0","0","0","0","62","26","31","4"
"PapadopoulosReimplementation","3","2","13635","273664","221903","932","4","0","0","0","0","60","17","48","4"
"AbaProReimplementation","3","2","18265","378934","312447","-103","4","0","0","0","0","60","33","31","4"
"PapadopoulosReimplementation","3","2","6281","139238","114931","942","4","0","0","0","0","60","12","32","4"
"AbaProReimplementation","3","2","9516","329172","296675","-100","4","0","0","0","0","63","38","12","9"
"PapadopoulosReimplementation","3","2","1957","33762","24901","934","4","0","0","0","0","65","3","33","2"
"AbaProReimplementation","3","2","28921","783541","685918","-100","4","0","0","0","0","63","59","24","7"
"PapadopoulosReimplementation","3","2","4292","95085","79500","950","4","0","0","0","0","66","14","15","5"
"AbaProReimplementation","3","2","26378","658915","570646","-99","4","0","0","0","0","64","50","26","6"
"PapadopoulosReimplementation","4","2","3583","68733","53883","950","4","0","0","0","0","65","9","23","3"
"AbaProReimplementation","4","2","2709","46880","35926","-193","4","0","0","0","0","56","5","32","3"
"PapadopoulosReimplementation","4","2","17260","404665","342458","1640","4","0","0","0","0","62","24","40","5"
"AbaProReimplementation","4","2","4034","71616","55809","-192","4","0","0","0","0","57","9","28","3"
"PapadopoulosReimplementation","4","2","52072","1363891","1208369","1622","4","0","0","0","0","62","48","51","7"
"AbaProReimplementation","4","2","4789","99717","79003","-191","4","0","0","0","0","59","10","31","3"
"PapadopoulosReimplementation","4","2","19951","428609","358674","1584","4","0","0","0","0","59","31","36","5"
"AbaProReimplementation","4","2","1594","27186","20313","-193","4","0","0","0","0","54","3","37","3"
"PapadopoulosReimplementation","4","2","13645","346168","294674","1602","4","0","0","0","0","56","20","44","5"
"AbaProReimplementation","4","2","15236","419479","353070","-191","4","0","0","0","0","46","48","28","5"
"PapadopoulosReimplementation","4","2","7319","163129","137032","1560","4","0","0","0","0","62","9","45","5"
"AbaProReimplementation","4","2","11983","303112","255309","-192","4","0","0","0","0","48","45","20","5"
"PapadopoulosReimplementation","4","2","6156","133542","106158","1628","4","0","0","0","0","59","9","47","3"
"AbaProReimplementation","4","2","3085","75475","61991","-196","4","0","0","0","0","47","15","17","4"
"PapadopoulosReimplementation","4","2","17737","462493","384738","1650","4","0","0","0","0","57","27","48","5"
"AbaProReimplementation","4","2","9415","220230","174722","-195","4","0","0","0","0","45","30","31","3"
"PapadopoulosReimplementation","4","2","14508","404647","345998","1620","4","0","0","0","0","55","24","42","6"
"AbaProReimplementation","4","2","2223","62186","51473","-195","4","0","0","0","0","46","10","20","5"
"PapadopoulosReimplementation","4","2","10861","297520","248825","1634","4","0","0","0","0","56","22","36","5"
"AbaProReimplementation","4","2","2449","68361","56471","-193","4","0","0","0","0","44","8","30","4"
"PapadopoulosReimplementation","4","2","5248","128512","104354","1620","4","0","0","0","0","57","11","34","4"
"AbaProReimplementation","4","2","6064","199869","171774","-193","4","0","0","0","0","43","39","15","6"
"PapadopoulosReimplementation","4","2","9626","279562","236413","1646","4","0","0","0","0","60","21","32","5"
"AbaProReimplementation","4","2","3524","121139","104191","-195","4","0","0","0","0","43","26","14","6"
"PapadopoulosReimplementation","4","2","6505","167478","134177","1642","4","0","0","0","0","56","16","34","4"
"AbaProReimplementation","4","2","1437","64338","57604","-194","4","0","0","0","0","42","13","10","9"
"PapadopoulosReimplementation","4","2","1363","36711","29943","1642","4","0","0","0","0","54","4","24","4"
"AbaProReimplementation","4","2","1498","70036","61769","-193","4","0","0","0","0","41","14","12","8"
"PapadopoulosReimplementation","4","2","5208","156819","132355","1678","4","0","0","0","0","56","18","22","5"
"AbaProReimplementation","4","2","1355","59426","52953","-194","4","0","0","0","0","40","11","13","8"
"PapadopoulosReimplementation","4","2","7960","230231","190946","1690","4","0","0","0","0","55","18","38","4"
"AbaProReimplementation","4","2","2686","107774","93881","-194","4","0","0","0","0","39","24","13","7"
"PapadopoulosReimplementation","4","2","7798","239378","200285","1694","4","0","0","0","0","54","21","32","5"
"AbaProReimplementation","4","2","2378","100103","88090","-194","4","0","0","0","0","40","22","12","7"
"PapadopoulosReimplementation","4","2","7628","219406","178856","1712","4","0","0","0","0","53","21","34","4"
"AbaProReimplementation","4","2","1446","80658","73654","-193","4","0","0","0","0","40","22","6","12"
