"player","score of AbaProReimplementation","score of PapadopoulosReimplementation","time spent","nodes visited","leaf nodes","rating of game state","depth","exact cuts","window cuts","windows narrowed","transposition table size","branching factor at depth 1","branching factor at depth 2","branching factor at depth 3","branching factor at depth 4"
"AbaProReimplementation","0","0","3573","54531","45759","0","4","0","0","0","0","44","18","9","5"
"PapadopoulosReimplementation","0","0","6235","104667","92521","-6","4","0","0","0","0","44","14","18","8"
"AbaProReimplementation","0","0","4005","55540","42399","0","4","0","0","0","0","52","10","22","3"
"PapadopoulosReimplementation","0","0","13550","226355","197500","-6","4","0","0","0","0","51","24","21","7"
"AbaProReimplementation","0","0","5605","77691","59571","0","4","0","0","0","0","60","12","23","3"
"PapadopoulosReimplementation","0","0","34027","688607","623813","18","4","0","0","0","0","54","44","25","10"
"AbaProReimplementation","0","0","7309","108235","85175","2","4","0","0","0","0","67","14","22","3"
"PapadopoulosReimplementation","0","0","32797","720027","662371","22","4","0","0","0","0","58","33","28","11"
"AbaProReimplementation","0","0","8441","136371","107547","3","4","0","0","0","0","71","15","25","3"
"PapadopoulosReimplementation","0","0","13375","261547","236072","-64","4","0","0","0","0","69","12","28","9"
"AbaProReimplementation","0","0","7220","123632","98836","3","4","0","0","0","0","67","15","22","4"
"PapadopoulosReimplementation","0","0","20661","403452","358708","-40","4","0","0","0","0","60","30","23","8"
"AbaProReimplementation","0","0","11539","155581","120804","4","4","0","0","0","0","67","18","26","3"
"PapadopoulosReimplementation","0","0","33198","650091","579893","8","4","0","0","0","0","55","28","43","8"
"AbaProReimplementation","0","0","5398","93230","75094","3","4","0","0","0","0","60","13","21","4"
"PapadopoulosReimplementation","0","0","16433","306626","270547","-52","4","0","0","0","0","62","16","33","7"
"AbaProReimplementation","0","0","18908","271270","209706","5","4","0","0","0","0","59","30","32","3"
"PapadopoulosReimplementation","0","0","35638","597833","513688","-8","4","0","0","0","0","58","30","46","6"
"AbaProReimplementation","0","0","11029","207361","171829","4","4","0","0","0","0","58","29","19","5"
"PapadopoulosReimplementation","0","0","18812","335380","290292","-12","4","0","0","0","0","64","13","52","6"
"AbaProReimplementation","0","0","1776","29871","23509","1","4","0","0","0","0","59","2","40","3"
"PapadopoulosReimplementation","0","0","26901","469421","408816","-54","4","0","0","0","0","69","19","44","6"
"AbaProReimplementation","0","0","5165","85426","68839","4","4","0","0","0","0","63","8","29","4"
"PapadopoulosReimplementation","0","0","26671","486503","420594","4","4","0","0","0","0","66","26","36","6"
"AbaProReimplementation","0","0","11702","196610","156752","5","4","0","0","0","0","67","21","26","4"
"PapadopoulosReimplementation","0","0","18239","294827","252732","-72","4","0","0","0","0","64","12","51","6"
"AbaProReimplementation","0","0","24969","393829","314025","5","4","0","0","0","0","62","46","26","4"
"PapadopoulosReimplementation","0","0","105378","2046566","1832137","-28","4","0","0","0","0","73","47","61","8"
"AbaProReimplementation","0","0","10429","163423","130967","5","4","0","0","0","0","69","18","24","4"
"PapadopoulosReimplementation","0","0","124786","2555255","2313756","-16","4","0","0","0","0","75","50","63","9"
"AbaProReimplementation","0","0","12086","187994","148786","5","4","0","0","0","0","64","22","26","3"
"PapadopoulosReimplementation","0","0","17365","285526","239433","-4","4","0","0","0","0","64","17","39","5"
"AbaProReimplementation","0","0","5021","86074","70072","6","4","0","0","0","0","71","11","17","4"
"PapadopoulosReimplementation","0","0","43508","856697","760556","-32","4","0","0","0","0","65","26","53","8"
"AbaProReimplementation","0","0","10336","143690","107959","6","4","0","0","0","0","64","12","43","3"
"PapadopoulosReimplementation","0","0","58539","1058430","928103","-52","4","0","0","0","0","61","40","51","7"
"AbaProReimplementation","0","0","36205","517803","399165","8","4","0","0","0","0","65","42","41","3"
"PapadopoulosReimplementation","0","0","74813","1330540","1169726","-62","4","0","0","0","0","66","44","53","7"
"AbaProReimplementation","0","0","11001","180937","139356","8","4","0","0","0","0","72","13","42","3"
"PapadopoulosReimplementation","0","0","58346","1319035","1198016","-46","4","0","0","0","0","64","54","33","10"
"AbaProReimplementation","0","0","32525","487832","372345","10","4","0","0","0","0","73","37","41","3"
"PapadopoulosReimplementation","0","0","41025","945368","865806","-108","4","0","0","0","0","65","35","33","11"
"AbaProReimplementation","0","0","3373","36843","24218","10","4","0","0","0","0","68","3","56","1"
"PapadopoulosReimplementation","0","0","9973","190205","165251","-88","4","0","0","0","0","54","20","21","6"
"AbaProReimplementation","0","0","9037","170451","138518","11","4","0","0","0","0","63","22","21","4"
"PapadopoulosReimplementation","0","0","41537","860954","773226","-106","4","0","0","0","0","61","37","37","9"
"AbaProReimplementation","0","0","15255","236688","179562","12","4","0","0","0","0","63","19","45","3"
"PapadopoulosReimplementation","0","0","45027","894733","800109","-124","4","0","0","0","0","66","34","41","8"
"AbaProReimplementation","0","0","3926","67209","52114","10","4","0","0","0","0","56","5","46","3"
"PapadopoulosReimplementation","0","0","23877","428727","364652","-74","4","0","0","0","0","58","26","40","5"
"AbaProReimplementation","0","0","4456","94825","77279","11","4","0","0","0","0","60","15","18","4"
"PapadopoulosReimplementation","0","0","30330","451044","366654","-94","4","0","0","0","0","61","33","40","4"
"AbaProReimplementation","0","0","16362","282180","218778","13","4","0","0","0","0","60","30","33","3"
"PapadopoulosReimplementation","0","0","32605","640961","570766","-118","4","0","0","0","0","52","36","36","8"
"AbaProReimplementation","0","0","13360","194954","144763","14","4","0","0","0","0","58","23","36","2"
"PapadopoulosReimplementation","0","0","32716","665363","597137","-116","4","0","0","0","0","50","41","31","9"
"AbaProReimplementation","0","0","11064","163543","123219","13","4","0","0","0","0","61","17","35","3"
"PapadopoulosReimplementation","0","0","13272","273570","244799","-120","4","0","0","0","0","48","20","28","8"
"AbaProReimplementation","0","0","18529","291117","222501","13","4","0","0","0","0","62","31","33","3"
"PapadopoulosReimplementation","0","0","26118","512597","448918","-86","4","0","0","0","0","52","44","26","7"
"AbaProReimplementation","0","0","13471","197049","146771","14","4","0","0","0","0","65","20","37","3"
"PapadopoulosReimplementation","0","0","6974","137370","118224","-102","4","0","0","0","0","49","18","19","6"
"AbaProReimplementation","0","0","12753","217076","166470","13","4","0","0","0","0","71","26","25","3"
"PapadopoulosReimplementation","0","0","13032","274518","243779","-130","4","0","0","0","0","49","21","28","8"
"AbaProReimplementation","0","0","10723","198223","151061","12","4","0","0","0","0","59","24","31","3"
"PapadopoulosReimplementation","0","0","40274","910808","826112","-138","4","0","0","0","0","51","58","27","10"
"AbaProReimplementation","0","0","959","15610","10837","10","4","0","0","0","0","57","2","35","2"
"PapadopoulosReimplementation","0","0","31655","616566","545632","-196","4","0","0","0","0","66","40","25","8"
"AbaProReimplementation","1","0","2983","57690","45775","12","4","0","0","0","0","58","8","21","4"
"PapadopoulosReimplementation","1","0","5853","112911","96183","-842","4","0","0","0","0","55","9","30","5"
"AbaProReimplementation","1","0","3024","71638","59326","105","4","0","0","0","0","53","10","21","5"
"PapadopoulosReimplementation","1","0","2801","48347","38858","-840","4","0","0","0","0","49","6","30","4"
"AbaProReimplementation","1","0","3489","65951","50803","104","4","0","0","0","0","57","9","26","3"
"PapadopoulosReimplementation","1","0","3336","65819","56183","-842","4","0","0","0","0","50","7","25","6"
"AbaProReimplementation","1","0","4159","91755","73869","104","4","0","0","0","0","56","17","17","4"
"PapadopoulosReimplementation","1","0","13154","273934","239944","-850","4","0","0","0","0","51","22","28","7"
"AbaProReimplementation","1","0","5423","103585","81604","104","4","0","0","0","0","55","16","22","3"
"PapadopoulosReimplementation","1","0","8635","158527","135039","-848","4","0","0","0","0","54","10","39","5"
"AbaProReimplementation","1","0","9342","215689","179286","104","4","0","0","0","0","55","37","16","5"
"PapadopoulosReimplementation","1","0","8527","162949","137837","-856","4","0","0","0","0","55","16","26","5"
"AbaProReimplementation","1","0","3317","66155","51163","102","4","0","0","0","0","58","11","21","3"
"PapadopoulosReimplementation","1","0","3470","65235","54539","-856","4","0","0","0","0","54","8","21","5"
"AbaProReimplementation","1","0","11502","284313","234495","103","4","0","0","0","0","58","38","21","4"
"PapadopoulosReimplementation","1","0","10008","195704","166213","-850","4","0","0","0","0","64","15","28","5"
"AbaProReimplementation","1","0","29896","617547","490263","102","4","0","0","0","0","62","48","41","3"
"PapadopoulosReimplementation","1","0","5235","87181","71884","-860","4","0","0","0","0","61","8","29","4"
"AbaProReimplementation","1","0","25713","492627","387103","103","4","0","0","0","0","57","45","39","3"
"PapadopoulosReimplementation","1","0","7960","135937","112387","-862","4","0","0","0","0","60","13","27","4"
"AbaProReimplementation","1","0","4174","91466","75684","103","4","0","0","0","0","58","12","20","5"
"PapadopoulosReimplementation","1","0","9648","174675","148447","-850","4","0","0","0","0","60","16","25","5"
"AbaProReimplementation","1","0","6524","186594","161368","105","4","0","0","0","0","63","27","13","6"
"PapadopoulosReimplementation","1","0","12474","232208","196630","-880","4","0","0","0","0","71","21","22","5"
"AbaProReimplementation","1","0","6252","164846","140845","104","4","0","0","0","0","67","20","16","6"
"PapadopoulosReimplementation","1","0","34567","578017","475664","-834","4","0","0","0","0","73","35","38","4"
"AbaProReimplementation","1","0","29803","658147","546083","105","4","0","0","0","0","70","53","28","5"
"PapadopoulosReimplementation","1","0","52877","903008","765808","-882","4","0","0","0","0","74","47","38","5"
"AbaProReimplementation","1","0","11072","218665","174760","106","4","0","0","0","0","67","16","37","4"
"PapadopoulosReimplementation","1","0","6452","110070","91007","-888","4","0","0","0","0","62","10","27","4"
"AbaProReimplementation","1","0","4272","96279","77985","105","4","0","0","0","0","65","11","24","4"
"PapadopoulosReimplementation","1","0","10000","232065","206110","-862","4","0","0","0","0","53","17","27","8"
"AbaProReimplementation","1","0","2441","58129","46800","105","4","0","0","0","0","61","9","18","4"
"PapadopoulosReimplementation","1","0","22123","471293","414142","-882","4","0","0","0","0","59","24","39","7"
"AbaProReimplementation","1","0","6865","141558","110583","105","4","0","0","0","0","63","12","38","3"
"PapadopoulosReimplementation","1","0","9899","206541","176807","-878","4","0","0","0","0","51","19","28","6"
"AbaProReimplementation","1","0","3860","105567","87429","106","4","0","0","0","0","59","12","23","5"
"PapadopoulosReimplementation","1","0","60420","1101140","921815","-874","4","0","0","0","0","71","45","54","5"
"AbaProReimplementation","1","0","11684","397368","343565","106","4","0","0","0","0","59","42","20","6"
"PapadopoulosReimplementation","1","0","9000","139805","111814","-918","4","0","0","0","0","69","7","51","4"
"AbaProReimplementation","1","0","9609","249870","205936","106","4","0","0","0","0","51","30","27","4"
"PapadopoulosReimplementation","1","0","15850","320979","278256","-892","4","0","0","0","0","58","25","27","6"
"AbaProReimplementation","1","0","1148","23699","17990","102","4","0","0","0","0","53","3","29","3"
"PapadopoulosReimplementation","1","0","16345","350023","305809","-900","4","0","0","0","0","55","32","23","7"
"AbaProReimplementation","1","0","9365","191485","146678","105","4","0","0","0","0","56","19","40","3"
"PapadopoulosReimplementation","1","0","23595","588214","535958","-896","4","0","0","0","0","59","46","18","10"
"AbaProReimplementation","1","0","12757","281061","221073","106","4","0","0","0","0","62","27","34","3"
"PapadopoulosReimplementation","1","0","21455","429503","369879","-892","4","0","0","0","0","64","26","34","6"
"AbaProReimplementation","1","0","23007","465067","367438","106","4","0","0","0","0","63","40","36","3"
"PapadopoulosReimplementation","1","0","39319","819801","715205","-852","4","0","0","0","0","71","31","45","6"
"AbaProReimplementation","1","0","3274","62795","49040","104","4","0","0","0","0","66","7","26","3"
"PapadopoulosReimplementation","1","0","28913","609121","532580","-876","4","0","0","0","0","66","31","36","7"
"AbaProReimplementation","1","0","16808","380396","309918","107","4","0","0","0","0","61","38","29","4"
"PapadopoulosReimplementation","1","0","22873","563833","506686","-880","4","0","0","0","0","54","39","25","9"
"AbaProReimplementation","1","0","4270","113489","92907","108","4","0","0","0","0","60","12","25","4"
"PapadopoulosReimplementation","1","0","3266","64092","53832","-918","4","0","0","0","0","54","9","19","5"
"AbaProReimplementation","1","0","5186","135111","108735","107","4","0","0","0","0","62","17","23","4"
"PapadopoulosReimplementation","1","0","22379","449541","385809","-898","4","0","0","0","0","55","35","31","6"
"AbaProReimplementation","1","0","3318","94317","76965","108","4","0","0","0","0","58","12","23","4"
"PapadopoulosReimplementation","1","0","21105","415370","354271","-906","4","0","0","0","0","54","30","36","5"
"AbaProReimplementation","1","0","5232","150547","124656","108","4","0","0","0","0","57","17","25","5"
"PapadopoulosReimplementation","1","0","5117","103320","87760","-926","4","0","0","0","0","52","15","18","5"
"AbaProReimplementation","1","0","5004","137332","111153","107","4","0","0","0","0","62","18","21","4"
"PapadopoulosReimplementation","1","0","7448","132325","108249","-910","4","0","0","0","0","52","18","23","4"
"AbaProReimplementation","1","0","5561","161154","132060","107","4","0","0","0","0","50","20","27","4"
"PapadopoulosReimplementation","1","0","21236","385348","319463","-886","4","0","0","0","0","54","35","33","4"
"AbaProReimplementation","1","0","7898","204404","164505","107","4","0","0","0","0","53","22","31","4"
"PapadopoulosReimplementation","1","0","18151","323341","270107","-898","4","0","0","0","0","57","30","29","5"
"AbaProReimplementation","1","0","6266","169061","140046","108","4","0","0","0","0","54","21","23","5"
"PapadopoulosReimplementation","1","0","17208","318044","270450","-898","4","0","0","0","0","59","23","33","5"
"AbaProReimplementation","1","0","11375","293463","243783","108","4","0","0","0","0","57","20","40","5"
"PapadopoulosReimplementation","1","0","9714","178610","150730","-892","4","0","0","0","0","60","20","22","5"
"AbaProReimplementation","1","0","11814","317983","266980","108","4","0","0","0","0","61","32","24","5"
"PapadopoulosReimplementation","1","0","24386","455311","392528","-906","4","0","0","0","0","61","24","40","6"
"AbaProReimplementation","1","0","4741","104657","83302","108","4","0","0","0","0","54","10","37","4"
"PapadopoulosReimplementation","1","0","6876","128681","108582","-902","4","0","0","0","0","50","14","26","5"
"AbaProReimplementation","1","0","4331","94878","75134","109","4","0","0","0","0","56","12","27","3"
"PapadopoulosReimplementation","1","0","12882","256592","222813","-906","4","0","0","0","0","45","26","27","6"
"AbaProReimplementation","1","0","6208","125354","97652","109","4","0","0","0","0","54","13","36","3"
"PapadopoulosReimplementation","1","0","20402","410441","358769","-900","4","0","0","0","0","50","29","33","7"
"AbaProReimplementation","1","0","4307","89355","70231","108","4","0","0","0","0","52","10","33","3"
"PapadopoulosReimplementation","1","0","16318","342309","300960","-886","4","0","0","0","0","55","24","30","7"
"AbaProReimplementation","1","0","5209","85135","62433","107","4","0","0","0","0","59","9","38","2"
"PapadopoulosReimplementation","1","0","27785","553410","483461","-900","4","0","0","0","0","49","39","34","7"
"AbaProReimplementation","1","0","5801","115404","89506","108","4","0","0","0","0","55","12","36","3"
"PapadopoulosReimplementation","1","0","44779","1051384","955716","-910","4","0","0","0","0","50","51","36","10"
"AbaProReimplementation","1","0","5036","91805","68629","109","4","0","0","0","0","63","9","36","3"
