"player","score of AbaProReimplementation","score of PapadopoulosReimplementation","time spent","nodes visited","leaf nodes","rating of game state","depth","exact cuts","window cuts","windows narrowed","transposition table size","branching factor at depth 1","branching factor at depth 2","branching factor at depth 3","branching factor at depth 4"
"AbaProReimplementation","0","0","3511","54531","45759","0","4","0","0","0","0","44","18","9","5"
"PapadopoulosReimplementation","0","0","6333","104667","92521","-6","4","0","0","0","0","44","14","18","8"
"AbaProReimplementation","0","0","4040","55540","42399","0","4","0","0","0","0","52","10","22","3"
"PapadopoulosReimplementation","0","0","13618","226328","197473","-6","4","0","0","0","0","51","24","21","7"
"AbaProReimplementation","0","0","5698","77691","59571","0","4","0","0","0","0","60","12","23","3"
"PapadopoulosReimplementation","0","0","34281","688607","623813","18","4","0","0","0","0","54","44","25","10"
"AbaProReimplementation","0","0","7385","108235","85175","2","4","0","0","0","0","67","14","22","3"
"PapadopoulosReimplementation","0","0","33017","719819","662163","22","4","0","0","0","0","58","33","28","11"
"AbaProReimplementation","0","0","8507","136371","107547","3","4","0","0","0","0","71","15","25","3"
"PapadopoulosReimplementation","0","0","13428","260608","235133","-64","4","0","0","0","0","69","12","28","9"
"AbaProReimplementation","0","0","7255","123638","98842","3","4","0","0","0","0","67","15","22","4"
"PapadopoulosReimplementation","0","0","20709","400342","355598","-40","4","0","0","0","0","60","30","23","8"
"AbaProReimplementation","0","0","11584","155580","120804","4","4","0","0","0","0","67","18","26","3"
"PapadopoulosReimplementation","0","0","33347","645396","575198","8","4","0","0","0","0","55","28","43","8"
"AbaProReimplementation","0","0","5414","92976","74903","3","4","0","0","0","0","60","13","21","4"
"PapadopoulosReimplementation","0","0","16526","305844","269765","-52","4","0","0","0","0","62","16","33","7"
"AbaProReimplementation","0","0","19004","271146","209612","5","4","0","0","0","0","59","30","32","3"
"PapadopoulosReimplementation","0","0","35778","596718","512576","-8","4","0","0","0","0","58","30","46","6"
"AbaProReimplementation","0","0","11035","206875","171495","4","4","0","0","0","0","58","29","19","5"
"PapadopoulosReimplementation","0","0","18924","335521","290435","-12","4","0","0","0","0","64","13","52","6"
"AbaProReimplementation","0","0","1762","29868","23507","1","4","0","0","0","0","59","2","40","3"
"PapadopoulosReimplementation","0","0","27008","468375","407772","-54","4","0","0","0","0","69","19","44","6"
"AbaProReimplementation","0","0","5203","85434","68850","4","4","0","0","0","0","63","8","29","4"
"PapadopoulosReimplementation","0","0","26801","486129","420220","4","4","0","0","0","0","66","26","36","6"
"AbaProReimplementation","0","0","11720","196445","156666","5","4","0","0","0","0","67","21","26","4"
"PapadopoulosReimplementation","0","0","18319","294259","252164","-72","4","0","0","0","0","64","12","51","6"
"AbaProReimplementation","0","0","25101","393817","314019","5","4","0","0","0","0","62","46","26","4"
"PapadopoulosReimplementation","0","0","105695","2039280","1824878","-28","4","0","0","0","0","73","47","61","8"
"AbaProReimplementation","0","0","10499","163421","130966","5","4","0","0","0","0","69","18","24","4"
"PapadopoulosReimplementation","0","0","125399","2552224","2310728","-16","4","0","0","0","0","75","50","63","9"
"AbaProReimplementation","0","0","12191","187999","148783","5","4","0","0","0","0","64","22","26","3"
"PapadopoulosReimplementation","0","0","17451","284882","238790","-4","4","0","0","0","0","64","17","39","5"
"AbaProReimplementation","0","0","5045","86074","70072","6","4","0","0","0","0","71","11","17","4"
"PapadopoulosReimplementation","0","0","43768","855660","759597","-32","4","0","0","0","0","65","26","53","8"
"AbaProReimplementation","0","0","10454","143682","107955","6","4","0","0","0","0","64","12","43","3"
"PapadopoulosReimplementation","0","0","58913","1056499","926172","-52","4","0","0","0","0","61","40","51","7"
"AbaProReimplementation","0","0","36492","517812","399171","8","4","0","0","0","0","65","42","41","3"
"PapadopoulosReimplementation","0","0","75342","1329690","1168875","-62","4","0","0","0","0","66","44","53","7"
"AbaProReimplementation","0","0","11168","181514","139721","8","4","0","0","0","0","72","13","43","3"
"PapadopoulosReimplementation","0","0","59077","1327782","1206582","-46","4","0","0","0","0","64","54","33","10"
"AbaProReimplementation","0","0","32837","486461","370876","10","4","0","0","0","0","73","37","41","3"
"PapadopoulosReimplementation","0","0","41406","949725","870160","-108","4","0","0","0","0","65","35","33","11"
"AbaProReimplementation","0","0","3383","36848","24222","10","4","0","0","0","0","68","3","56","1"
"PapadopoulosReimplementation","0","0","10037","190411","165460","-88","4","0","0","0","0","54","20","21","6"
"AbaProReimplementation","0","0","9246","171658","139247","11","4","0","0","0","0","63","22","22","4"
"PapadopoulosReimplementation","0","0","41824","860602","772879","-106","4","0","0","0","0","61","37","37","9"
"AbaProReimplementation","0","0","14667","216178","161418","12","4","0","0","0","0","63","18","46","3"
"PapadopoulosReimplementation","0","0","45381","894736","800106","-124","4","0","0","0","0","66","34","41","8"
"AbaProReimplementation","0","0","3960","67042","51979","10","4","0","0","0","0","56","5","47","3"
"PapadopoulosReimplementation","0","0","24061","428700","364625","-74","4","0","0","0","0","58","26","40","5"
"AbaProReimplementation","0","0","4488","94759","77215","11","4","0","0","0","0","60","15","18","4"
"PapadopoulosReimplementation","0","0","30569","450705","366314","-94","4","0","0","0","0","61","33","40","4"
"AbaProReimplementation","0","0","16513","282234","218829","13","4","0","0","0","0","60","30","33","3"
"PapadopoulosReimplementation","0","0","32847","639002","568807","-118","4","0","0","0","0","52","36","36","8"
"AbaProReimplementation","0","0","13478","195037","144830","14","4","0","0","0","0","58","23","36","2"
"PapadopoulosReimplementation","0","0","32956","663746","595519","-116","4","0","0","0","0","50","41","31","9"
"AbaProReimplementation","0","0","11115","163218","123003","13","4","0","0","0","0","61","17","35","3"
"PapadopoulosReimplementation","0","0","13307","270981","242340","-120","4","0","0","0","0","48","20","27","8"
