"player","score of AbaProReimplementation","score of PapadopoulosReimplementation","time spent","nodes visited","leaf nodes","rating of game state","depth","exact cuts","window cuts","windows narrowed","transposition table size","branching factor at depth 1","branching factor at depth 2","branching factor at depth 3","branching factor at depth 4"
"AbaProReimplementation","0","0","3516","54531","45759","0","4","0","0","0","0","44","18","9","5"
"PapadopoulosReimplementation","0","0","6297","104667","92521","-6","4","0","0","0","0","44","14","18","8"
"AbaProReimplementation","0","0","4049","55540","42399","0","4","0","0","0","0","52","10","22","3"
"PapadopoulosReimplementation","0","0","13532","226328","197473","-6","4","0","0","0","0","51","24","21","7"
"AbaProReimplementation","0","0","5671","77691","59571","0","4","0","0","0","0","60","12","23","3"
"PapadopoulosReimplementation","0","0","33990","688607","623813","18","4","0","0","0","0","54","44","25","10"
"AbaProReimplementation","0","0","7365","108235","85175","2","4","0","0","0","0","67","14","22","3"
"PapadopoulosReimplementation","0","0","32761","719819","662163","22","4","0","0","0","0","58","33","28","11"
"AbaProReimplementation","0","0","8517","136371","107547","3","4","0","0","0","0","71","15","25","3"
"PapadopoulosReimplementation","0","0","13379","260608","235133","-64","4","0","0","0","0","69","12","28","9"
"AbaProReimplementation","0","0","7272","123638","98842","3","4","0","0","0","0","67","15","22","4"
"PapadopoulosReimplementation","0","0","20690","400342","355598","-40","4","0","0","0","0","60","30","23","8"
"AbaProReimplementation","0","0","11624","155580","120804","4","4","0","0","0","0","67","18","26","3"
"PapadopoulosReimplementation","0","0","33187","645396","575198","8","4","0","0","0","0","55","28","43","8"
"AbaProReimplementation","0","0","5421","92976","74903","3","4","0","0","0","0","60","13","21","4"
"PapadopoulosReimplementation","0","0","16465","305844","269765","-52","4","0","0","0","0","62","16","33","7"
"AbaProReimplementation","0","0","19055","271146","209612","5","4","0","0","0","0","59","30","32","3"
"PapadopoulosReimplementation","0","0","35760","596718","512576","-8","4","0","0","0","0","58","30","46","6"
"AbaProReimplementation","0","0","11066","206875","171495","4","4","0","0","0","0","58","29","19","5"
"PapadopoulosReimplementation","0","0","18930","335521","290435","-12","4","0","0","0","0","64","13","52","6"
"AbaProReimplementation","0","0","1762","29868","23507","1","4","0","0","0","0","59","2","40","3"
"PapadopoulosReimplementation","0","0","27000","468375","407772","-54","4","0","0","0","0","69","19","44","6"
"AbaProReimplementation","0","0","5217","85434","68850","4","4","0","0","0","0","63","8","29","4"
"PapadopoulosReimplementation","0","0","26704","486129","420220","4","4","0","0","0","0","66","26","36","6"
"AbaProReimplementation","0","0","11732","196445","156666","5","4","0","0","0","0","67","21","26","4"
"PapadopoulosReimplementation","0","0","18342","294259","252164","-72","4","0","0","0","0","64","12","51","6"
