"player","score of AbaProReimplementation","score of PapadopoulosReimplementation","time spent","nodes visited","leaf nodes","rating of game state","depth","exact cuts","window cuts","windows narrowed","transposition table size","branching factor at depth 1","branching factor at depth 2","branching factor at depth 3","branching factor at depth 4"
"PapadopoulosReimplementation","0","0","40839","908259","822455","-138","4","0","0","0","0","51","58","27","9"
"AbaProReimplementation","0","0","960","15497","10724","10","4","0","0","0","0","57","2","35","2"
"PapadopoulosReimplementation","0","0","31526","601153","530487","-196","4","0","0","0","0","66","40","25","7"
"AbaProReimplementation","1","0","2896","56913","45265","12","4","0","0","0","0","58","9","21","4"
"PapadopoulosReimplementation","1","0","5603","108460","92527","-842","4","0","0","0","0","55","9","29","6"
"AbaProReimplementation","1","0","3037","71523","59211","105","4","0","0","0","0","53","10","21","5"
"PapadopoulosReimplementation","1","0","2788","47878","38389","-840","4","0","0","0","0","49","6","30","4"
"AbaProReimplementation","1","0","3497","66050","50882","104","4","0","0","0","0","57","9","26","3"
"PapadopoulosReimplementation","1","0","3356","65405","55764","-842","4","0","0","0","0","50","7","25","6"
"AbaProReimplementation","1","0","4115","90174","72698","104","4","0","0","0","0","56","17","16","4"
"PapadopoulosReimplementation","1","0","13076","267981","234019","-850","4","0","0","0","0","51","22","28","7"
"AbaProReimplementation","1","0","5610","106456","83839","104","4","0","0","0","0","55","17","22","3"
"PapadopoulosReimplementation","1","0","8487","152818","129465","-848","4","0","0","0","0","54","11","36","5"
"AbaProReimplementation","1","0","9283","214513","178355","104","4","0","0","0","0","55","37","16","5"
"PapadopoulosReimplementation","1","0","8388","157851","133035","-856","4","0","0","0","0","55","16","26","5"
"AbaProReimplementation","1","0","3268","65472","50604","102","4","0","0","0","0","58","11","21","3"
"PapadopoulosReimplementation","1","0","3437","63646","53040","-856","4","0","0","0","0","54","8","21","5"
"AbaProReimplementation","1","0","12426","295890","241830","103","4","0","0","0","0","58","37","23","4"
"PapadopoulosReimplementation","1","0","10078","192494","162607","-850","4","0","0","0","0","64","15","28","5"
"AbaProReimplementation","1","0","31167","634214","502309","102","4","0","0","0","0","62","48","42","3"
"PapadopoulosReimplementation","1","0","5309","89428","74006","-860","4","0","0","0","0","61","8","30","4"
"AbaProReimplementation","1","0","26412","502016","394052","103","4","0","0","0","0","57","45","40","3"
"PapadopoulosReimplementation","1","0","7989","135481","111956","-862","4","0","0","0","0","60","13","27","4"
"AbaProReimplementation","1","0","4116","90080","74535","103","4","0","0","0","0","58","12","20","5"
"PapadopoulosReimplementation","1","0","10193","186151","158806","-850","4","0","0","0","0","60","16","26","6"
"AbaProReimplementation","1","0","6332","182824","158406","105","4","0","0","0","0","63","27","13","7"
"PapadopoulosReimplementation","1","0","12616","235747","200167","-880","4","0","0","0","0","71","21","22","5"
"AbaProReimplementation","1","0","6174","166518","143136","104","4","0","0","0","0","67","21","15","6"
"PapadopoulosReimplementation","1","0","34774","577879","475653","-834","4","0","0","0","0","73","36","37","4"
"AbaProReimplementation","1","0","29087","650320","541149","105","4","0","0","0","0","70","53","28","5"
"PapadopoulosReimplementation","1","0","52877","884174","746638","-882","4","0","0","0","0","74","47","38","5"
"AbaProReimplementation","1","0","11125","218734","174829","106","4","0","0","0","0","67","16","37","4"
"PapadopoulosReimplementation","1","0","6488","110295","91231","-888","4","0","0","0","0","62","10","27","4"
"AbaProReimplementation","1","0","4286","96414","78117","105","4","0","0","0","0","65","11","24","4"
"PapadopoulosReimplementation","1","0","10034","232027","206070","-862","4","0","0","0","0","53","17","27","8"
"AbaProReimplementation","1","0","2465","58128","46799","105","4","0","0","0","0","61","9","18","4"
"PapadopoulosReimplementation","1","0","22241","471207","414056","-882","4","0","0","0","0","59","24","39","7"
"AbaProReimplementation","1","0","6879","141392","110434","105","4","0","0","0","0","63","12","38","3"
"PapadopoulosReimplementation","1","0","9978","206542","176808","-878","4","0","0","0","0","51","19","28","6"
"AbaProReimplementation","1","0","3888","105610","87472","106","4","0","0","0","0","59","12","23","5"
"PapadopoulosReimplementation","1","0","60767","1101595","922271","-874","4","0","0","0","0","71","45","54","5"
"AbaProReimplementation","1","0","11724","397360","343564","106","4","0","0","0","0","59","42","20","6"
"PapadopoulosReimplementation","1","0","9026","139428","111437","-918","4","0","0","0","0","69","7","51","4"
"AbaProReimplementation","1","0","9640","249641","205707","106","4","0","0","0","0","51","30","27","4"
"PapadopoulosReimplementation","1","0","15981","321560","278835","-892","4","0","0","0","0","58","25","27","6"
"AbaProReimplementation","1","0","1134","23695","17986","102","4","0","0","0","0","53","3","29","3"
"PapadopoulosReimplementation","1","0","16503","350531","306319","-900","4","0","0","0","0","55","32","23","7"
"AbaProReimplementation","1","0","9226","188193","144038","105","4","0","0","0","0","56","19","39","3"
"PapadopoulosReimplementation","1","0","25543","660444","607187","-896","4","0","0","0","0","59","46","18","12"
"AbaProReimplementation","1","0","12942","283511","222853","106","4","0","0","0","0","62","27","34","3"
"PapadopoulosReimplementation","1","0","21676","431931","372305","-892","4","0","0","0","0","64","26","34","6"
"AbaProReimplementation","1","0","23026","465407","367833","106","4","0","0","0","0","63","40","36","3"
"PapadopoulosReimplementation","1","0","39694","823679","719078","-852","4","0","0","0","0","71","31","45","7"
"AbaProReimplementation","1","0","3270","62871","49116","104","4","0","0","0","0","66","7","26","3"
"PapadopoulosReimplementation","1","0","29097","609526","532990","-876","4","0","0","0","0","66","31","36","7"
"AbaProReimplementation","1","0","16823","380440","309964","107","4","0","0","0","0","61","38","29","4"
"PapadopoulosReimplementation","1","0","23012","563848","506701","-880","4","0","0","0","0","54","39","25","9"
"AbaProReimplementation","1","0","4277","113726","93144","108","4","0","0","0","0","60","12","25","4"
"PapadopoulosReimplementation","1","0","3280","64092","53832","-918","4","0","0","0","0","54","9","19","5"
"AbaProReimplementation","1","0","5162","135111","108735","107","4","0","0","0","0","62","17","23","4"
"PapadopoulosReimplementation","1","0","22487","449713","385981","-898","4","0","0","0","0","55","35","31","6"
