"player","score of PapadopoulosReimplementation","score of AbaProReimplementation","time spent","nodes visited","leaf nodes","rating of game state","depth","exact cuts","window cuts","windows narrowed","transposition table size","branching factor at depth 1","branching factor at depth 2","branching factor at depth 3","branching factor at depth 4"
"PapadopoulosReimplementation","0","0","4719","62973","55670","0","4","0","0","0","0","44","8","18","8"
"AbaProReimplementation","0","0","5623","107023","90738","-3","4","0","0","0","0","44","26","13","6"
"PapadopoulosReimplementation","0","0","5792","102671","91060","12","4","0","0","0","0","51","11","18","8"
"AbaProReimplementation","0","0","6577","134431","114690","-3","4","0","0","0","0","52","25","13","6"
"PapadopoulosReimplementation","0","0","4191","83725","76380","0","4","0","0","0","0","62","5","19","11"
"AbaProReimplementation","0","0","16466","298535","245992","-3","4","0","0","0","0","53","33","28","4"
"PapadopoulosReimplementation","0","0","13719","217769","183147","50","4","0","0","0","0","56","20","29","5"
"AbaProReimplementation","0","0","23063","337334","267612","-2","4","0","0","0","0","63","38","27","3"
"PapadopoulosReimplementation","0","0","32254","736289","672570","102","4","0","0","0","0","50","36","33","10"
"AbaProReimplementation","0","0","23404","333547","261302","-1","4","0","0","0","0","66","35","30","3"
"PapadopoulosReimplementation","0","0","13694","244258","212586","34","4","0","0","0","0","55","16","34","6"
"AbaProReimplementation","0","0","26906","417452","338318","-1","4","0","0","0","0","64","47","24","4"
"PapadopoulosReimplementation","0","0","17061","313678","269513","88","4","0","0","0","0","50","35","24","6"
"AbaProReimplementation","0","0","14451","193819","147859","1","4","0","0","0","0","69","22","28","3"
"PapadopoulosReimplementation","0","0","19239","410770","365803","74","4","0","0","0","0","52","25","33","8"
"AbaProReimplementation","0","0","11244","240802","206706","6","4","0","0","0","0","69","39","11","6"
"PapadopoulosReimplementation","0","0","11666","230536","200682","34","4","0","0","0","0","60","14","34","6"
"AbaProReimplementation","0","0","34210","427724","327265","4","4","0","0","0","0","67","42","34","3"
"PapadopoulosReimplementation","0","0","35036","686590","602175","50","4","0","0","0","0","58","35","39","7"
"AbaProReimplementation","0","0","8326","137837","112641","2","4","0","0","0","0","68","18","19","4"
"PapadopoulosReimplementation","0","0","33224","631806","551573","24","4","0","0","0","0","61","41","31","7"
"AbaProReimplementation","0","0","13485","230921","191297","2","4","0","0","0","0","69","28","18","5"
"PapadopoulosReimplementation","0","0","17014","305236","265594","26","4","0","0","0","0","58","21","30","6"
"AbaProReimplementation","0","0","20775","362957","296681","3","4","0","0","0","0","67","36","26","4"
"PapadopoulosReimplementation","0","0","17045","289752","249914","-12","4","0","0","0","0","65","16","36","6"
"AbaProReimplementation","0","0","7916","173195","146988","0","4","0","0","0","0","60","22","18","5"
"PapadopoulosReimplementation","0","0","30317","489550","408069","4","4","0","0","0","0","71","23","47","5"
