"player","score of PapadopoulosReimplementation","score of AbaProReimplementation","time spent","nodes visited","leaf nodes","rating of game state","depth","exact cuts","window cuts","windows narrowed","transposition table size","branching factor at depth 1","branching factor at depth 2","branching factor at depth 3","branching factor at depth 4"
"PapadopoulosReimplementation","0","0","4809","62973","55670","0","4","0","0","0","0","44","8","18","8"
"AbaProReimplementation","0","0","5695","107023","90738","-3","4","0","0","0","0","44","26","13","6"
"PapadopoulosReimplementation","0","0","5837","102671","91060","12","4","0","0","0","0","51","11","18","8"
"AbaProReimplementation","0","0","6649","134431","114690","-3","4","0","0","0","0","52","25","13","6"
"PapadopoulosReimplementation","0","0","4210","83725","76380","0","4","0","0","0","0","62","5","19","11"
"AbaProReimplementation","0","0","16488","298535","245992","-3","4","0","0","0","0","53","33","28","4"
"PapadopoulosReimplementation","0","0","13825","217769","183147","50","4","0","0","0","0","56","20","29","5"
"AbaProReimplementation","0","0","23344","337334","267612","-2","4","0","0","0","0","63","38","27","3"
"PapadopoulosReimplementation","0","0","32347","736289","672570","102","4","0","0","0","0","50","36","33","10"
"AbaProReimplementation","0","0","23461","333547","261302","-1","4","0","0","0","0","66","35","30","3"
"PapadopoulosReimplementation","0","0","13678","244258","212586","34","4","0","0","0","0","55","16","34","6"
"AbaProReimplementation","0","0","26978","417452","338318","-1","4","0","0","0","0","64","47","24","4"
"PapadopoulosReimplementation","0","0","17028","313678","269513","88","4","0","0","0","0","50","35","24","6"
"AbaProReimplementation","0","0","14510","193819","147859","1","4","0","0","0","0","69","22","28","3"
"PapadopoulosReimplementation","0","0","19182","410770","365803","74","4","0","0","0","0","52","25","33","8"
"AbaProReimplementation","0","0","11302","240802","206706","6","4","0","0","0","0","69","39","11","6"
"PapadopoulosReimplementation","0","0","11569","230536","200682","34","4","0","0","0","0","60","14","34","6"
"AbaProReimplementation","0","0","34336","427724","327265","4","4","0","0","0","0","67","42","34","3"
"PapadopoulosReimplementation","0","0","34989","686590","602175","50","4","0","0","0","0","58","35","39","7"
"AbaProReimplementation","0","0","8315","137837","112641","2","4","0","0","0","0","68","18","19","4"
"PapadopoulosReimplementation","0","0","33231","631806","551573","24","4","0","0","0","0","61","41","31","7"
"AbaProReimplementation","0","0","13534","230921","191297","2","4","0","0","0","0","69","28","18","5"
"PapadopoulosReimplementation","0","0","17008","305236","265594","26","4","0","0","0","0","58","21","30","6"
"AbaProReimplementation","0","0","20833","362957","296681","3","4","0","0","0","0","67","36","26","4"
"PapadopoulosReimplementation","0","0","17058","289752","249914","-12","4","0","0","0","0","65","16","36","6"
"AbaProReimplementation","0","0","7968","173195","146988","0","4","0","0","0","0","60","22","18","5"
"PapadopoulosReimplementation","0","0","30352","489550","408069","4","4","0","0","0","0","71","23","47","5"
"AbaProReimplementation","0","0","9838","238795","204694","0","4","0","0","0","0","53","32","18","6"
"PapadopoulosReimplementation","0","0","3344","58999","48350","0","4","0","0","0","0","59","6","26","4"
"AbaProReimplementation","0","0","15974","431093","374733","2","4","0","0","0","0","61","43","20","6"
"PapadopoulosReimplementation","0","0","6819","141857","123207","22","4","0","0","0","0","64","11","25","6"
"AbaProReimplementation","0","0","10657","281703","245776","-2","4","0","0","0","0","60","39","14","7"
"PapadopoulosReimplementation","0","0","12465","240628","205039","70","4","0","0","0","0","68","13","39","5"
