"player","score of ConsiderSelfOnly","score of CondiserEnemyPosition","time spent","nodes visited","leaf nodes","rating of game state","depth","exact cuts","window cuts","windows narrowed","transposition table size","branching factor at depth 1","branching factor at depth 2","branching factor at depth 3","branching factor at depth 4"
"ConsiderSelfOnly","0","0","19267","260146","204119","12","4","0","0","0","0","49","38","28","3"
"CondiserEnemyPosition","0","0","23383","362973","312075","-36","4","0","0","0","0","81","10","61","6"
"ConsiderSelfOnly","0","0","7685","104336","84059","12","4","0","0","0","0","50","17","21","4"
"CondiserEnemyPosition","0","0","98568","1748137","1553440","6","4","0","0","0","0","75","43","59","8"
"ConsiderSelfOnly","0","0","3646","64622","55416","20","4","0","0","0","0","54","10","14","6"
"CondiserEnemyPosition","0","0","32404","576506","504094","-40","4","0","0","0","0","81","15","56","7"
"ConsiderSelfOnly","0","0","4129","87869","78190","-10","4","0","0","0","0","62","10","14","8"
"CondiserEnemyPosition","0","0","40896","760815","674477","-10","4","0","0","0","0","80","15","66","7"
"ConsiderSelfOnly","0","0","4083","67850","57203","-4","4","0","0","0","0","58","9","18","5"
"CondiserEnemyPosition","0","0","36480","662099","592642","-56","4","0","0","0","0","72","15","60","8"
"ConsiderSelfOnly","0","0","26852","260558","188413","40","4","0","0","0","0","73","23","41","2"
"CondiserEnemyPosition","0","0","104970","1720088","1511070","-12","4","0","0","0","0","76","41","65","7"
"ConsiderSelfOnly","0","0","1804","20239","15658","24","4","0","0","0","0","58","3","23","3"
"CondiserEnemyPosition","0","0","72902","1186107","1040328","-18","4","0","0","0","0","77","28","64","7"
"ConsiderSelfOnly","0","0","2019","18326","13270","24","4","0","0","0","0","66","2","30","2"
"CondiserEnemyPosition","0","0","192878","4035838","3722519","-20","4","0","0","0","0","76","63","63","12"
"ConsiderSelfOnly","0","0","18148","172448","125384","32","4","0","0","0","0","79","12","45","2"
"CondiserEnemyPosition","0","0","106844","1591414","1372914","-30","4","0","0","0","0","79","41","65","6"
"ConsiderSelfOnly","0","0","15235","167839","128604","40","4","0","0","0","0","73","14","36","3"
"CondiserEnemyPosition","0","0","125879","2053159","1797511","-2","4","0","0","0","0","75","52","63","7"
"ConsiderSelfOnly","0","0","2198","31421","25764","0","4","0","0","0","0","65","4","18","4"
"CondiserEnemyPosition","0","0","59535","1077967","968324","-40","4","0","0","0","0","75","22","63","8"
"ConsiderSelfOnly","0","0","2514","25131","18895","24","4","0","0","0","0","71","3","25","3"
"CondiserEnemyPosition","0","0","100027","1874310","1690733","0","4","0","0","0","0","76","37","63","9"
"ConsiderSelfOnly","0","0","2992","37406","30039","12","4","0","0","0","0","70","4","20","4"
