"player","score of CondiserEnemyPosition","score of ConsiderSelfOnly","time spent","nodes visited","leaf nodes","rating of game state","depth","exact cuts","window cuts","windows narrowed","transposition table size","branching factor at depth 1","branching factor at depth 2","branching factor at depth 3","branching factor at depth 4"
"CondiserEnemyPosition","0","0","4063","52643","45377","0","4","0","0","0","0","44","8","17","6"
"ConsiderSelfOnly","0","0","880","8082","5599","-122","4","0","0","0","0","44","2","24","2"
"CondiserEnemyPosition","0","0","3393","50637","42856","0","4","0","0","0","0","51","6","22","5"
"ConsiderSelfOnly","0","0","1214","14495","11284","-104","4","0","0","0","0","51","3","17","3"
"CondiserEnemyPosition","0","0","3669","65332","58287","0","4","0","0","0","0","62","6","15","8"
"ConsiderSelfOnly","0","0","1112","10968","7694","-80","4","0","0","0","0","54","2","27","2"
"CondiserEnemyPosition","0","0","4787","63691","52053","-14","4","0","0","0","0","62","4","37","4"
"ConsiderSelfOnly","0","0","1732","17904","13130","-60","4","0","0","0","0","58","3","24","2"
"CondiserEnemyPosition","0","0","13601","176576","144310","4","4","0","0","0","0","62","12","41","4"
"ConsiderSelfOnly","0","0","2180","28217","22456","-40","4","0","0","0","0","62","4","18","4"
"CondiserEnemyPosition","0","0","3789","48634","39652","-2","4","0","0","0","0","65","3","34","4"
"ConsiderSelfOnly","0","0","3438","39517","30248","-32","4","0","0","0","0","61","5","26","3"
"CondiserEnemyPosition","0","0","7926","120812","103427","18","4","0","0","0","0","70","5","40","6"
"ConsiderSelfOnly","0","0","3469","53461","43994","-24","4","0","0","0","0","53","9","17","4"
"CondiserEnemyPosition","0","0","10924","160785","135643","-4","4","0","0","0","0","74","6","51","5"
"ConsiderSelfOnly","0","0","8010","95792","74895","-22","4","0","0","0","0","59","12","26","3"
"CondiserEnemyPosition","0","0","18887","342620","300141","96","4","0","0","0","0","70","14","41","7"
"ConsiderSelfOnly","0","0","4918","68338","56049","-72","4","0","0","0","0","61","9","19","4"
"CondiserEnemyPosition","0","0","50668","758036","641131","62","4","0","0","0","0","79","21","67","5"
"ConsiderSelfOnly","0","0","8278","114266","93758","-22","4","0","0","0","0","59","16","20","4"
"CondiserEnemyPosition","0","0","25757","457563","399157","106","4","0","0","0","0","78","15","47","6"
"ConsiderSelfOnly","0","0","1560","14744","10830","-72","4","0","0","0","0","58","2","27","2"
