"player","score of PapadopoulosReimplementation","score of AbaProReimplementation","time spent","nodes visited","leaf nodes","rating of game state","depth","exact cuts","window cuts","windows narrowed","transposition table size","branching factor at depth 1","branching factor at depth 2","branching factor at depth 3","branching factor at depth 4"
"PapadopoulosReimplementation","0","0","17638","284841","243350","0","4","0","0","0","0","52","23","32","6"
"AbaProReimplementation","0","0","3278","76435","62842","-3","4","0","0","0","0","52","14","16","4"
"PapadopoulosReimplementation","0","0","21118","432912","384778","0","4","0","0","0","0","59","20","39","8"
"AbaProReimplementation","0","0","6887","204031","177075","-2","4","0","0","0","0","60","29","14","7"
"PapadopoulosReimplementation","0","0","34911","811155","731009","34","4","0","0","0","0","70","26","42","9"
"AbaProReimplementation","0","0","8914","276368","241046","0","4","0","0","0","0","62","42","12","7"
"PapadopoulosReimplementation","0","0","45136","1130751","1042736","14","4","0","0","0","0","74","32","36","12"
"AbaProReimplementation","0","0","9337","366512","331365","0","4","0","0","0","0","64","47","10","10"
"PapadopoulosReimplementation","0","0","29453","642476","577051","-20","4","0","0","0","0","83","14","54","8"
"AbaProReimplementation","0","0","10589","338266","297356","-2","4","0","0","0","0","63","47","12","7"
"PapadopoulosReimplementation","0","0","33699","733801","644729","24","4","0","0","0","0","78","21","52","7"
"AbaProReimplementation","0","0","4694","158590","140991","-2","4","0","0","0","0","53","29","10","8"
"PapadopoulosReimplementation","0","0","16103","331714","286136","30","4","0","0","0","0","70","14","45","6"
"AbaProReimplementation","0","0","2614","79295","68766","-3","4","0","0","0","0","44","16","13","7"
"PapadopoulosReimplementation","0","0","34459","785886","683305","62","4","0","0","0","0","68","30","49","6"
"AbaProReimplementation","0","0","5517","138472","116375","-2","4","0","0","0","0","56","19","18","5"
"PapadopoulosReimplementation","0","0","30620","711763","623765","66","4","0","0","0","0","66","35","36","7"
"AbaProReimplementation","0","0","10085","277071","237928","0","4","0","0","0","0","57","40","15","6"
"PapadopoulosReimplementation","0","0","21249","471437","409997","38","4","0","0","0","0","65","20","46","6"
"AbaProReimplementation","0","0","8675","203750","168480","-1","4","0","0","0","0","51","33","19","5"
"PapadopoulosReimplementation","0","0","8503","193676","167985","38","4","0","0","0","0","61","10","37","6"
"AbaProReimplementation","0","0","6842","204799","176849","-1","4","0","0","0","0","56","28","16","6"
"PapadopoulosReimplementation","0","0","12322","274758","235783","46","4","0","0","0","0","64","14","41","6"
"AbaProReimplementation","0","0","9818","243245","204015","-2","4","0","0","0","0","54","37","18","5"
"PapadopoulosReimplementation","0","0","15652","365103","321572","40","4","0","0","0","0","56","19","38","7"
"AbaProReimplementation","0","0","10371","250003","208681","-2","4","0","0","0","0","53","33","22","5"
"PapadopoulosReimplementation","0","0","8512","195925","170007","52","4","0","0","0","0","53","13","35","6"
"AbaProReimplementation","0","0","16968","379641","314084","-1","4","0","0","0","0","55","44","25","4"
"PapadopoulosReimplementation","0","0","3629","73565","62185","38","4","0","0","0","0","50","8","25","5"
"AbaProReimplementation","0","0","14247","386483","332455","-4","4","0","0","0","0","62","35","23","6"
"PapadopoulosReimplementation","0","0","3429","73277","61829","78","4","0","0","0","0","56","7","26","5"
"AbaProReimplementation","0","0","9846","217784","177464","-8","4","0","0","0","0","61","25","24","4"
"PapadopoulosReimplementation","0","0","6485","153870","130635","102","4","0","0","0","0","48","15","30","5"
"AbaProReimplementation","0","0","4102","100534","82789","-9","4","0","0","0","0","58","12","23","4"
