"player","score of PapadopoulosReimplementation","score of AbaProReimplementation","time spent","nodes visited","leaf nodes","rating of game state","depth","exact cuts","window cuts","windows narrowed","transposition table size","branching factor at depth 1","branching factor at depth 2","branching factor at depth 3","branching factor at depth 4"
"PapadopoulosReimplementation","0","0","18230","284841","243350","0","4","0","0","0","0","52","23","32","6"
"AbaProReimplementation","0","0","3401","76435","62842","-3","4","0","0","0","0","52","14","16","4"
"PapadopoulosReimplementation","0","0","21965","432912","384778","0","4","0","0","0","0","59","20","39","8"
"AbaProReimplementation","0","0","7103","204031","177075","-2","4","0","0","0","0","60","29","14","7"
"PapadopoulosReimplementation","0","0","36362","811155","731009","34","4","0","0","0","0","70","26","42","9"
"AbaProReimplementation","0","0","9187","276368","241046","0","4","0","0","0","0","62","42","12","7"
"PapadopoulosReimplementation","0","0","47098","1130751","1042736","14","4","0","0","0","0","74","32","36","12"
"AbaProReimplementation","0","0","9672","366512","331365","0","4","0","0","0","0","64","47","10","10"
"PapadopoulosReimplementation","0","0","30661","642476","577051","-20","4","0","0","0","0","83","14","54","8"
"AbaProReimplementation","0","0","10996","338266","297356","-2","4","0","0","0","0","63","47","12","7"
"PapadopoulosReimplementation","0","0","35097","733801","644729","24","4","0","0","0","0","78","21","52","7"
"AbaProReimplementation","0","0","4860","158590","140991","-2","4","0","0","0","0","53","29","10","8"
"PapadopoulosReimplementation","0","0","16753","331714","286136","30","4","0","0","0","0","70","14","45","6"
"AbaProReimplementation","0","0","2700","79295","68766","-3","4","0","0","0","0","44","16","13","7"
"PapadopoulosReimplementation","0","0","35836","785886","683305","62","4","0","0","0","0","68","30","49","6"
"AbaProReimplementation","0","0","5728","138472","116375","-2","4","0","0","0","0","56","19","18","5"
"PapadopoulosReimplementation","0","0","31869","711763","623765","66","4","0","0","0","0","66","35","36","7"
"AbaProReimplementation","0","0","10480","277071","237928","0","4","0","0","0","0","57","40","15","6"
"PapadopoulosReimplementation","0","0","22153","471437","409997","38","4","0","0","0","0","65","20","46","6"
"AbaProReimplementation","0","0","9002","203750","168480","-1","4","0","0","0","0","51","33","19","5"
"PapadopoulosReimplementation","0","0","8886","193676","167985","38","4","0","0","0","0","61","10","37","6"
"AbaProReimplementation","0","0","7103","204799","176849","-1","4","0","0","0","0","56","28","16","6"
"PapadopoulosReimplementation","0","0","12832","274758","235783","46","4","0","0","0","0","64","14","41","6"
"AbaProReimplementation","0","0","10171","243245","204015","-2","4","0","0","0","0","54","37","18","5"
"PapadopoulosReimplementation","0","0","16346","365103","321572","40","4","0","0","0","0","56","19","38","7"
"AbaProReimplementation","0","0","10763","250003","208681","-2","4","0","0","0","0","53","33","22","5"
"PapadopoulosReimplementation","0","0","8895","195925","170007","52","4","0","0","0","0","53","13","35","6"
"AbaProReimplementation","0","0","17735","379641","314084","-1","4","0","0","0","0","55","44","25","4"
"PapadopoulosReimplementation","0","0","3769","73565","62185","38","4","0","0","0","0","50","8","25","5"
"AbaProReimplementation","0","0","14728","386483","332455","-4","4","0","0","0","0","62","35","23","6"
"PapadopoulosReimplementation","0","0","3572","73277","61829","78","4","0","0","0","0","56","7","26","5"
"AbaProReimplementation","0","0","10245","217784","177464","-8","4","0","0","0","0","61","25","24","4"
"PapadopoulosReimplementation","0","0","6782","153870","130635","102","4","0","0","0","0","48","15","30","5"
"AbaProReimplementation","0","0","4261","100534","82789","-9","4","0","0","0","0","58","12","23","4"
"PapadopoulosReimplementation","0","0","9197","217448","185989","110","4","0","0","0","0","50","18","32","6"
"AbaProReimplementation","0","0","4986","119144","99195","-10","4","0","0","0","0","64","14","20","5"
"PapadopoulosReimplementation","0","0","4455","95352","78103","124","4","0","0","0","0","55","9","32","4"
"AbaProReimplementation","0","0","4821","143663","123957","-8","4","0","0","0","0","64","15","18","6"
"PapadopoulosReimplementation","0","0","1939","33498","24440","180","4","0","0","0","0","61","3","37","2"
"AbaProReimplementation","0","0","17366","635833","567708","-7","4","0","0","0","0","66","53","18","8"
"PapadopoulosReimplementation","1","0","3788","71590","54793","206","4","0","0","0","0","68","7","31","3"
"AbaProReimplementation","1","0","3833","155473","138499","-101","4","0","0","0","0","64","18","13","8"
"PapadopoulosReimplementation","1","0","6630","150907","123371","906","4","0","0","0","0","65","13","30","4"
"AbaProReimplementation","1","0","2846","74531","63150","-103","4","0","0","0","0","65","9","17","5"
"PapadopoulosReimplementation","1","0","3160","65606","52153","898","4","0","0","0","0","67","6","31","4"
"AbaProReimplementation","1","0","11999","457908","411847","-102","4","0","0","0","0","69","52","11","9"
"PapadopoulosReimplementation","2","0","7665","177793","148313","960","4","0","0","0","0","68","13","30","5"
"AbaProReimplementation","2","0","6731","167383","139892","-195","4","0","0","0","0","68","16","22","5"
"PapadopoulosReimplementation","2","0","7369","193880","166802","1694","4","0","0","0","0","59","13","32","6"
"AbaProReimplementation","2","0","6283","194881","167779","-194","4","0","0","0","0","58","32","13","6"
"PapadopoulosReimplementation","2","0","10815","269007","222555","1694","4","0","0","0","0","62","25","28","4"
"AbaProReimplementation","2","0","9037","244625","208496","-195","4","0","0","0","0","57","42","14","6"
"PapadopoulosReimplementation","2","0","6698","167858","139095","1676","4","0","0","0","0","59","19","23","5"
"AbaProReimplementation","2","0","4024","96125","79047","-195","4","0","0","0","0","59","17","15","4"
"PapadopoulosReimplementation","2","0","8614","198844","161454","1672","4","0","0","0","0","55","21","31","4"
"AbaProReimplementation","2","0","3819","108780","93501","-192","4","0","0","0","0","58","17","13","6"
"PapadopoulosReimplementation","2","0","4097","103615","87641","1674","4","0","0","0","0","62","7","34","5"
"AbaProReimplementation","2","0","4246","116967","99457","-192","4","0","0","0","0","55","17","17","6"
"PapadopoulosReimplementation","2","0","4556","90795","68939","1684","4","0","0","0","0","68","8","37","3"
"AbaProReimplementation","2","0","5029","162323","143213","-189","4","0","0","0","0","63","24","11","8"
"PapadopoulosReimplementation","2","0","15960","512154","465297","1728","4","0","0","0","0","72","13","46","10"
"AbaProReimplementation","2","0","4423","190688","174013","-187","4","0","0","0","0","67","28","7","11"
"PapadopoulosReimplementation","2","0","13905","327456","268755","1716","4","0","0","0","0","71","24","32","4"
"AbaProReimplementation","2","0","3778","115837","101062","-188","4","0","0","0","0","67","16","11","7"
"PapadopoulosReimplementation","2","0","49051","1287695","1111696","1740","4","0","0","0","0","70","51","47","6"
"AbaProReimplementation","2","0","2956","58662","46613","-186","4","0","0","0","0","68","6","25","4"
"PapadopoulosReimplementation","2","0","59463","1672693","1504731","1722","4","0","0","0","0","65","52","48","9"
"AbaProReimplementation","2","0","3842","100174","85070","-183","4","0","0","0","0","63","15","14","6"
"PapadopoulosReimplementation","2","0","38687","1111763","1018184","1694","4","0","0","0","0","58","41","37","11"
"AbaProReimplementation","2","0","2559","64739","55325","-181","4","0","0","0","0","60","10","13","6"
"PapadopoulosReimplementation","2","0","26583","670999","603204","1666","4","0","0","0","0","59","37","29","9"
"AbaProReimplementation","2","0","3061","37974","26017","-184","4","0","0","0","0","58","4","48","2"
"PapadopoulosReimplementation","2","0","50849","1381661","1262823","1664","4","0","0","0","0","61","44","42","10"
"AbaProReimplementation","2","0","2414","28994","19609","-181","4","0","0","0","0","60","3","45","2"
"PapadopoulosReimplementation","2","0","3756","71902","58880","1634","4","0","0","0","0","59","5","36","4"
"AbaProReimplementation","2","0","3413","75929","62471","-180","4","0","0","0","0","54","14","16","4"
"PapadopoulosReimplementation","2","0","20634","564397","520218","1654","4","0","0","0","0","54","24","32","12"
"AbaProReimplementation","2","0","6846","138489","112497","-179","4","0","0","0","0","62","17","22","4"
"PapadopoulosReimplementation","2","0","10791","257626","228965","1628","4","0","0","0","0","60","15","30","8"
"AbaProReimplementation","2","0","16395","298402","234194","-180","4","0","0","0","0","59","27","38","3"
"PapadopoulosReimplementation","2","0","20743","528239","476572","1666","4","0","0","0","0","57","29","29","9"
"AbaProReimplementation","2","0","5545","145235","124683","-180","4","0","0","0","0","61","23","13","6"
"PapadopoulosReimplementation","2","0","3645","78818","67550","1636","4","0","0","0","0","49","11","18","6"
"AbaProReimplementation","2","0","5372","183308","162568","-181","4","0","0","0","0","62","28","10","8"
"PapadopoulosReimplementation","2","0","14558","369099","332450","1626","4","0","0","0","0","58","18","33","9"
"AbaProReimplementation","2","0","5714","157329","134600","-181","4","0","0","0","0","58","27","13","6"
"PapadopoulosReimplementation","2","0","10326","244576","214936","1662","4","0","0","0","0","52","18","30","7"
"AbaProReimplementation","2","0","6718","121081","93149","-183","4","0","0","0","0","58","15","29","3"
"PapadopoulosReimplementation","2","0","22725","579503","521340","1658","4","0","0","0","0","57","27","35","9"
"AbaProReimplementation","2","0","7735","169963","138950","-185","4","0","0","0","0","51","20","28","4"
"PapadopoulosReimplementation","2","0","38036","1129419","1033925","1712","4","0","0","0","0","53","42","41","11"
"AbaProReimplementation","2","0","5699","91533","69742","-185","4","0","0","0","0","54","10","35","3"
"PapadopoulosReimplementation","2","0","45203","1207400","1103709","1674","4","0","0","0","0","60","34","48","10"
"AbaProReimplementation","2","0","6699","152004","125973","-186","4","0","0","0","0","49","20","24","5"
"PapadopoulosReimplementation","2","0","33354","887919","809022","1648","4","0","0","0","0","64","35","34","10"
"AbaProReimplementation","2","0","3359","62544","49453","-188","4","0","0","0","0","48","9","26","3"
"PapadopoulosReimplementation","2","0","24809","591313","522850","1688","4","0","0","0","0","63","34","30","7"
"AbaProReimplementation","2","0","1473","34720","29090","-188","4","0","0","0","0","51","4","23","5"
"PapadopoulosReimplementation","2","0","26164","648651","582868","1674","4","0","0","0","0","69","26","35","9"
"AbaProReimplementation","2","0","4805","109369","90389","-187","4","0","0","0","0","50","13","27","4"
"PapadopoulosReimplementation","2","0","23225","685342","639983","1666","4","0","0","0","0","65","13","50","14"
"AbaProReimplementation","2","0","3496","88420","74946","-187","4","0","0","0","0","45","13","20","5"
"PapadopoulosReimplementation","2","0","45920","1428929","1343948","1650","4","0","0","0","0","75","18","59","16"
"AbaProReimplementation","2","0","4320","129094","111340","-185","4","0","0","0","0","47","19","18","6"
"PapadopoulosReimplementation","2","0","25004","628623","567616","1622","4","0","0","0","0","75","13","58","9"
"AbaProReimplementation","2","0","5823","163198","138795","-185","4","0","0","0","0","47","25","19","5"
"PapadopoulosReimplementation","2","0","10165","240730","211724","1608","4","0","0","0","0","64","10","42","7"
"AbaProReimplementation","2","0","3808","174661","158976","-184","4","0","0","0","0","44","36","8","11"
"PapadopoulosReimplementation","2","0","6885","145980","125443","1592","4","0","0","0","0","80","5","42","6"
"AbaProReimplementation","2","0","1771","66303","58819","-185","4","0","0","0","0","42","14","10","8"
"PapadopoulosReimplementation","2","0","13270","303265","264996","1626","4","0","0","0","0","70","11","47","7"
