"player","score of AbaProReimplementation","score of PapadopoulosReimplementation","time spent","nodes visited","leaf nodes","rating of game state","depth","exact cuts","window cuts","windows narrowed","transposition table size","branching factor at depth 1","branching factor at depth 2","branching factor at depth 3","branching factor at depth 4"
"PapadopoulosReimplementation","3","2","12565","316977","267739","-720","4","0","0","0","0","39","36","33","5"
"AbaProReimplementation","3","2","1408","44502","36835","89","4","0","0","0","0","45","7","21","5"
"PapadopoulosReimplementation","3","2","6574","149717","119671","-724","4","0","0","0","0","39","23","31","4"
"AbaProReimplementation","3","2","4443","168112","143795","90","4","0","0","0","0","49","34","13","6"
"PapadopoulosReimplementation","3","2","6226","154758","133321","-796","4","0","0","0","0","53","29","12","6"
"AbaProReimplementation","3","2","2686","82198","67814","97","4","0","0","0","0","48","15","18","4"
"PapadopoulosReimplementation","3","2","6356","126405","100905","-812","4","0","0","0","0","53","21","20","4"
"AbaProReimplementation","4","2","1697","52301","42482","93","4","0","0","0","0","44","13","14","4"
"PapadopoulosReimplementation","4","3","1116","22051","16103","-1518","4","0","0","0","0","51","3","30","2"
"AbaProReimplementation","4","3","1296","50495","41028","90","4","0","0","0","0","42","8","26","4"
"PapadopoulosReimplementation","4","3","5997","192746","163764","-754","4","0","0","0","0","54","21","23","5"
"AbaProReimplementation","4","3","3464","136614","116417","93","4","0","0","0","0","56","18","18","6"
"PapadopoulosReimplementation","4","3","2107","66757","55976","-722","4","0","0","0","0","49","12","17","5"
"AbaProReimplementation","4","3","2230","94102","81545","92","4","0","0","0","0","58","9","20","6"
"PapadopoulosReimplementation","4","4","3599","114222","97441","-740","4","0","0","0","0","52","25","11","6"
"AbaProReimplementation","4","4","1501","83611","72965","-1","4","0","0","0","0","53","9","19","7"
"PapadopoulosReimplementation","4","4","2476","82149","69483","-8","4","0","0","0","0","46","9","27","5"
"AbaProReimplementation","4","4","1101","52661","43327","-3","4","0","0","0","0","47","9","19","4"
