"player","score of player","score of same player","time spent","nodes visited","leaf nodes","rating of game state","depth","exact cuts","window cuts","windows narrowed","transposition table size","branching factor at depth 1","branching factor at depth 2","branching factor at depth 3","branching factor at depth 4","branching factor at depth 5","branching factor at depth 6","branching factor at depth 7"
"player","0","2","0","107188","104196","-1738","3","0","0","0","0","63","45","35"
"same player","0","2","0","138884","123663","1718","4","0","0","0","0","61","7","28","6"
"player","0","2","0","97407","94343","-1766","3","0","0","0","0","60","49","31"
"same player","0","2","0","106438","92975","1728","4","0","0","0","0","59","9","19","5"
"player","0","2","0","75490","72739","-1798","3","0","0","0","0","57","46","26"
"same player","0","2","0","57523","50536","1760","4","0","0","0","0","57","5","18","4"
"player","0","2","0","87668","84090","-1792","3","0","0","0","0","56","61","23"
"same player","0","2","0","114398","93980","1804","4","0","0","0","0","62","9","32","3"
"player","0","2","0","69746","66596","-1838","3","0","0","0","0","55","55","20"
"same player","0","2","0","174706","146309","1818","4","0","0","0","0","60","17","24","4"
"player","0","2","0","91531","87784","-1846","3","0","0","0","0","64","56","23"
"same player","0","2","0","154435","134426","1822","4","0","0","0","0","64","10","25","5"
"player","0","2","0","110196","105963","-1852","3","0","0","0","0","67","61","24"
"same player","0","2","0","73481","57749","1846","4","0","0","0","0","67","6","34","3"
"player","0","2","0","118327","114223","-1870","3","0","0","0","0","62","64","27"
"same player","0","2","0","146500","129490","1870","4","0","0","0","0","68","10","21","7"
"player","0","2","0","110087","105989","-1872","3","0","0","0","0","59","67","25"
"same player","0","3","0","54923","45363","1838","4","0","0","0","0","69","4","29","2"
"player","0","3","0","114148","110061","-2566","3","0","0","0","0","59","67","26"
"same player","0","3","0","187888","158468","2564","4","0","0","0","0","65","14","28","4"
"player","0","3","0","83380","80160","-2578","3","0","0","0","0","56","55","24"
"same player","0","3","0","190990","158429","2562","4","0","0","0","0","61","15","33","4"
"player","0","3","0","106172","102100","-2536","3","0","0","0","0","55","72","24"
"same player","0","4","0","21978","16430","2516","4","0","0","0","0","71","2","28","2"
"player","0","4","0","80269","76343","-3240","3","0","0","0","0","53","72","18"
"same player","0","5","0","57515","48121","3320","4","0","0","0","0","72","3","34","3"
"player","0","5","0","55404","51760","-4110","3","0","0","0","0","55","64","13"
"same player","0","5","0","63153","52269","4086","4","0","0","0","0","61","5","28","3"
"player","0","5","0","283239","264509","-4120","4","0","0","0","0","42","17","21","13"
"same player","0","5","0","195302","171589","4096","4","0","0","0","0","55","12","31","6"
"player","0","5","0","49915","45653","-4140","4","0","0","0","0","34","6","14","10"
"same player","0","5","0","55123","53105","4112","3","0","0","0","0","60","31","27"
"player","0","5","0","144914","131486","-4106","4","0","0","0","0","36","20","15","10"
"same player","0","5","0","266021","235507","4072","4","0","0","0","0","63","15","28","6"
"player","0","5","0","250093","231457","-4074","4","0","0","0","0","37","37","11","13"
"same player","0","5","0","70506","68422","4084","3","0","0","0","0","66","29","34"
"player","0","5","0","236305","218096","-4084","4","0","0","0","0","38","23","17","12"
"same player","0","5","0","62126","60103","4062","3","0","0","0","0","73","25","30"
"player","0","5","0","340074","319781","-4082","4","0","0","0","0","39","37","11","17"
"same player","0","5","0","119417","98949","4054","4","0","0","0","0","78","4","49","3"
"player","0","5","0","28380","26384","-4092","3","0","0","0","0","34","56","12"
"same player","0","5","0","37092","28824","4062","4","0","0","0","0","66","3","38","2"
"player","0","5","0","33329","30902","-4106","3","0","0","0","0","38","61","12"
"same player","0","5","0","64300","53346","4106","4","0","0","0","0","68","3","41","3"
"player","0","5","0","311671","292647","-4164","4","0","0","0","0","38","28","14","16"
"same player","0","5","0","303724","265331","4170","4","0","0","0","0","67","16","32","5"
"player","0","5","0","111234","105116","-4180","4","0","0","0","0","33","10","12","20"
"same player","0","5","0","57237","55568","4154","3","0","0","0","0","70","21","35"
"player","0","5","0","340815","327806","-4158","4","0","0","0","0","33","24","13","29"
"same player","0","5","0","247389","208274","4146","4","0","0","0","0","70","10","50","4"
"player","0","5","0","36281","33948","-4164","3","0","0","0","0","39","57","14"
"same player","0","5","0","52848","51210","4172","3","0","0","0","0","70","21","33"
"player","0","5","0","325082","309962","-4178","4","0","0","0","0","31","37","10","24"
"same player","0","5","0","47091","45916","4184","3","0","0","0","0","69","15","43"
"player","0","5","0","151328","143356","-4196","4","0","0","0","0","32","14","12","21"
"same player","0","5","0","68513","66554","4190","3","0","0","0","0","69","26","35"
"player","0","5","0","275638","259645","-4184","4","0","0","0","0","35","25","14","18"
"same player","0","5","0","73906","71801","4182","3","0","0","0","0","72","27","36"
"player","0","5","0","16133","15163","-4202","3","0","0","0","0","35","25","15"
"same player","0","5","0","89097","81042","4182","5","0","0","0","0","68","1","5","8","12"
"player","0","5","0","29712","27661","-4188","3","0","0","0","0","30","66","12"
"same player","0","6","0","102745","65269","4166","7","0","0","0","0","64","1","1","11","1","30","1"
